relative_path,exists,size_bytes,non_empty
post_metre_selection/Post_METRE_Model_Comparison.csv,True,1959,True
post_metre_selection/Post_METRE_Model_Signoff_Report.md,True,5609,True
post_metre_selection/Model_Role_Assignment.csv,True,1358,True
post_metre_selection/Downstream_Analysis_Model_Map.csv,True,1253,True
post_metre_recalibration/Post_METRE_Recalibration_Results.csv,True,9034,True
post_metre_recalibration/Post_METRE_Recalibration_Report.md,True,1495,True
post_metre_recalibration/Recalibrated_Model_Signoff.md,True,900,True
post_metre_clinical_utility/strict_24h_first_alarm_summary.csv,True,5387,True
post_metre_clinical_utility/eventual_death_leadtime_summary.csv,True,4348,True
post_metre_clinical_utility/dca_threshold_sweep_post_metre.csv,True,8873,True
post_metre_clinical_utility/Post_METRE_Leadtime_DCA_Report.md,True,3584,True
post_metre_component_reassessment/component_ablation_results.csv,True,21152,True
post_metre_component_reassessment/component_subgroup_results.csv,True,28741,True
post_metre_component_reassessment/Post_METRE_Component_Reassessment_Report.md,True,4783,True
results_package/tables/Table2_Main_Model_Comparators_Post_METRE.csv,True,4966,True
results_package/tables/Table3_Phenotype_Gain_Post_METRE.csv,True,5012,True
results_package/tables/Table4_Measurement_Bias_Post_METRE.csv,True,2383,True
results_package/figures/Figure5_DCA_Leadtime_Post_METRE.csv,True,24980,True
results_package/figures/Figure6_External_Failure_Modes_Post_METRE.csv,True,1962,True
results_package/text/Results_Skeleton_zh_Post_METRE.md,True,2455,True
results_package/text/Discussion_Outline_zh_Post_METRE.md,True,1896,True
results_package/text/Honest_Reporting_Checklist_Post_METRE.md,True,1421,True
results_package/text/PI_Decision_Summary_Post_METRE.md,True,975,True
results_package/POST_METRE_RESULT_INDEX.md,True,1190,True
results_package/POST_METRE_RESULT_LINEAGE.csv,True,4489,True
