metric_name,old_value,new_value,source_file,source_script,model_used,whether_recalibrated,notes
eICU external AUROC,0.7089861413441381,0.8090071140511993,post_metre_selection/Post_METRE_Model_Comparison.csv,post_metre_selection/run_post_metre_model_selection.py,MT3_physiology_support_proxy,no,Old value is original M1 external AUROC.
eICU external AUPRC,0.0376712206138802,0.1863245428838832,post_metre_selection/Post_METRE_Model_Comparison.csv,post_metre_selection/run_post_metre_model_selection.py,MT3_physiology_support_proxy,no,Primary external transport improvement.
eICU external calibration slope,0.0728281344750092,0.9651508255083516,post_metre_selection/Post_METRE_Model_Comparison.csv,post_metre_selection/run_post_metre_model_selection.py,MT3_physiology_support_proxy,no,Raw transport model slope before local recalibration.
holdout MT3 auroc_death after local recalibration,0.8105793612938319,0.8105793612938319,post_metre_recalibration/Post_METRE_Recalibration_Results.csv,post_metre_recalibration/run_post_metre_external_recalibration.py,MT3_physiology_support_proxy,yes_intercept_only,Patient-level hold-out eICU evaluation.
holdout MT3 auprc_death after local recalibration,0.1913066896373459,0.1913066896373459,post_metre_recalibration/Post_METRE_Recalibration_Results.csv,post_metre_recalibration/run_post_metre_external_recalibration.py,MT3_physiology_support_proxy,yes_intercept_only,Patient-level hold-out eICU evaluation.
holdout MT3 death_brier after local recalibration,0.0976562741995316,0.019118492884312,post_metre_recalibration/Post_METRE_Recalibration_Results.csv,post_metre_recalibration/run_post_metre_external_recalibration.py,MT3_physiology_support_proxy,yes_intercept_only,Patient-level hold-out eICU evaluation.
holdout MT3 multiclass_brier after local recalibration,0.5912438637757217,0.4554428542268338,post_metre_recalibration/Post_METRE_Recalibration_Results.csv,post_metre_recalibration/run_post_metre_external_recalibration.py,MT3_physiology_support_proxy,yes_intercept_only,Patient-level hold-out eICU evaluation.
holdout MT3 calibration_slope_death after local recalibration,0.9861664695603756,0.9874296704130016,post_metre_recalibration/Post_METRE_Recalibration_Results.csv,post_metre_recalibration/run_post_metre_external_recalibration.py,MT3_physiology_support_proxy,yes_intercept_only,Patient-level hold-out eICU evaluation.
holdout MT3 ece_death_10bin after local recalibration,0.2385456302285693,0.0030436321137451,post_metre_recalibration/Post_METRE_Recalibration_Results.csv,post_metre_recalibration/run_post_metre_external_recalibration.py,MT3_physiology_support_proxy,yes_intercept_only,Patient-level hold-out eICU evaluation.
Figure5 lead-time at threshold 0.10,88.8925,5.566666666666666,post_metre_clinical_utility/strict_24h_first_alarm_summary.csv,post_metre_clinical_utility/run_post_metre_clinical_utility.py,MT3_recalibrated_intercept_only,yes_intercept_only,Old value was eventual-death style lead-time; new value is strict 24h-label first alarm median.
Figure5 DCA net benefit at threshold 0.10,-0.043067,0.0042666322081676,post_metre_clinical_utility/dca_threshold_sweep_post_metre.csv,post_metre_clinical_utility/run_post_metre_clinical_utility.py,MT3_recalibrated_intercept_only,yes_intercept_only,Post-METRE DCA uses 24h death label and recalibrated probability.
Phenotype hard-label external AUPRC delta,0.000153,-0.005006053137467686,post_metre_component_reassessment/component_ablation_results.csv,post_metre_component_reassessment/run_post_metre_component_reassessment.py,MT4 vs MT3,no,Old value was M1 vs C3 external AUPRC delta.
Phenotype soft-membership external AUPRC delta,not previously tested,-0.027582577965218097,post_metre_component_reassessment/component_ablation_results.csv,post_metre_component_reassessment/run_post_metre_component_reassessment.py,A3 vs MT3,no,Soft membership does not improve external AUPRC.
Shared support proxy external AUPRC gain vs no-proxy,not in old Step9 package,0.05339950468595531,post_metre_component_reassessment/component_ablation_results.csv,post_metre_component_reassessment/run_post_metre_component_reassessment.py,MT3 vs MT1,no,Supports proxy inclusion in transport model.
Measurement intensity external AUPRC,0.036217330079026375,0.0294920820131758,post_metre_component_reassessment/component_ablation_results.csv,post_metre_component_reassessment/run_post_metre_component_reassessment.py,C4,no,Confirms measurement intensity remains non-transportable.
