feature_name,feature_domain,external_missing_rate,t1_status,t2_status,selection_reason
antibiotics_active_hours_since_last_status_update,physiology_or_support,0.10723474519121479,exclude,exclude,Removed because status-update metadata reflects local observation workflow more than transportable physiology.
antibiotics_active_is_observed_or_recorded,physiology_or_support,0.0,exclude,exclude,Removed because status-update metadata reflects local observation workflow more than transportable physiology.
bilirubin_slope_24h,physiology_or_support,0.43243826787665846,exclude,exclude,Removed because the raw instantaneous signal had high external missingness or unstable transport mapping.
bilirubin_total_hours_since_last_real_measurement,physiology_or_support,0.18572949055363688,exclude,exclude,Removed to keep the transport model compact and reduce dependence on measurement-process proxies.
bilirubin_total_is_forward_filled,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
bilirubin_total_is_observed_current_hour,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
bilirubin_total_latest_value,physiology_or_support,0.5460533386851469,exclude,exclude,Removed because the raw instantaneous signal had high external missingness or unstable transport mapping.
bilirubin_total_measure_count_last_24h,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
creatinine_is_forward_filled,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
creatinine_is_observed_current_hour,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
creatinine_measure_count_last_24h,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
culture_flag_hours_since_last_status_update,physiology_or_support,1.0,exclude,exclude,Removed because status-update metadata reflects local observation workflow more than transportable physiology.
culture_flag_is_observed_or_recorded,physiology_or_support,0.0,exclude,exclude,Removed because status-update metadata reflects local observation workflow more than transportable physiology.
fio2_is_forward_filled,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
fio2_is_observed_current_hour,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
fio2_latest_value,physiology_or_support,0.6957379843383361,exclude,exclude,Removed because the raw instantaneous signal had high external missingness or unstable transport mapping.
fio2_measure_count_last_24h,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
hr_hours_since_last_real_measurement,physiology_or_support,0.0,exclude,exclude,Removed to keep the transport model compact and reduce dependence on measurement-process proxies.
hr_is_forward_filled,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
hr_is_observed_current_hour,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
hr_measure_count_last_24h,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
hr_sd_24h,physiology_or_support,0.0008512807733243798,exclude,exclude,Removed to keep the transport model compact and reduce dependence on measurement-process proxies.
lactate_is_forward_filled,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
lactate_is_observed_current_hour,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
lactate_latest_value,physiology_or_support,0.8294118933911127,exclude,exclude,Removed because the raw instantaneous signal had high external missingness or unstable transport mapping.
lactate_measure_count_last_24h,physiology_or_support,0.0,exclude,exclude,Removed because high-dimensional observation-process signal harmed transportability in prior experiments.
