model_name,display_model_name,model_role,dataset_scope,calibration_state,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,death_brier,calibration_intercept_death,calibration_slope_death,ece_death_10bin,source_file,status_note
M1_original_rich,M1_main_competing_risk,"Internal rich model, not external transport default",mimic_internal_test,raw,1030526.0,20807.0,0.0201906599154218,0.8706060787754399,0.2732901870699031,0.4672366844800886,,-3.273295275529093,0.895665295468659,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
M1_original_rich,M1_main_competing_risk,"Internal rich model, not external transport default",eicu_external_full,raw,1051357.0,22593.0,0.0214893704041538,0.7089861413441381,0.0376712206138802,0.8788226425612441,,-3.876280772129801,0.0728281344750092,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
C1_dynamic_SOFA,C1_dynamic_SOFA_only,Clinical score comparator,mimic_internal_test,raw,1030526.0,20807.0,0.0201906599154218,0.7623211132262806,0.1063862966786857,0.5585232725241237,,-3.3189832838193,0.9323290074210878,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
C1_dynamic_SOFA,C1_dynamic_SOFA_only,Clinical score comparator,eicu_external_full,raw,1051357.0,22593.0,0.0214893704041538,0.7253473181676158,0.0668617589473758,0.8256609410276378,,-3.512609255661989,0.4919347053705084,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
C3_no_phenotype,C3_no_phenotype,No-phenotype sensitivity model,mimic_internal_test,raw,1030526.0,20807.0,0.020190659915421832,0.870489036704311,0.273646094455321,0.4682284734521249,,,0.8985580055487012,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
C3_no_phenotype,C3_no_phenotype,No-phenotype sensitivity model,eicu_external_full,raw,1051357.0,22593.0,0.02148937040415387,0.708259779836543,0.0375177377932272,0.9002640240261139,,,0.0728220608326562,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
MT3_physiology_support_proxy,MT3_physiology_support_proxy,Final external transport model,mimic_internal_test,raw,1030526.0,20807.0,0.0201906599154218,0.805345794028386,0.2052511028741349,0.5757758825650097,,-3.0944623501837945,1.057985075769373,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
MT3_physiology_support_proxy,MT3_physiology_support_proxy,Final external transport model,eicu_external_full,raw,1051357.0,22593.0,0.0214893704041538,0.8090071140511993,0.1863245428838832,0.5926737670360287,,-3.256981527144304,0.9651508255083516,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
MT4_support_proxy_phenotype_sensitivity,MT4_support_proxy_phenotype_sensitivity,Phenotype sensitivity model,mimic_internal_test,raw,1030526.0,20807.0,0.0201906599154218,0.807332226607885,0.2043060752448874,0.5731538093400614,,-3.1010912949788683,1.0465072866270893,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
MT4_support_proxy_phenotype_sensitivity,MT4_support_proxy_phenotype_sensitivity,Phenotype sensitivity model,eicu_external_full,raw,1051357.0,22593.0,0.0214893704041538,0.8110878293112073,0.1813184897464155,0.6213904020736144,,-3.0565393044742093,0.9126688651101832,,post_metre_selection/Post_METRE_Model_Comparison.csv; metre_transport/METRE_vs_Original_Model_Comparison.csv,
MT3_physiology_support_proxy,MT3_physiology_support_proxy,Final external transport model hold-out calibration assessment,eicu_external_holdout,raw,835788.0,17984.0,0.021517418292677,0.8105793612938319,0.1913066896373459,0.5912438637757217,0.0976562741995316,-3.232150000845921,0.9861664695603756,0.2385456302285693,post_metre_recalibration/Post_METRE_Recalibration_Results.csv,Hold-out eICU patient-level split; recalibration subset not reused for evaluation.
MT3_physiology_support_proxy,MT3_physiology_support_proxy,Final external transport model hold-out calibration assessment,eicu_external_holdout,intercept_only,835788.0,17984.0,0.021517418292677,0.8105793612938319,0.1913066896373459,0.4554428542268338,0.019118492884312,0.0855871165697079,0.9874296704130016,0.0030436321137451,post_metre_recalibration/Post_METRE_Recalibration_Results.csv,Hold-out eICU patient-level split; recalibration subset not reused for evaluation.
C2_dynamic_OASIS,Dynamic OASIS-only comparator,Unavailable comparator,not_available,not_available,,,,,,,,,,,step7_main_modeling reports and Step9 table,"Unavailable because final model-ready tables do not retain stable dynamic OASIS inputs including GCS scoring, age score interface, and pre-ICU LOS."
