model_name,threshold,n,prevalence,tp,fp,positive_n,net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none
MT3_raw,0.005,835788,0.02151741829267709,17984,817804,835788,0.01660042039465034,0.01660042039465034,0.0,0.0,0.01660042039465034
MT3_raw,0.01,835788,0.02151741829267709,17984,817804,835788,0.01163375585118898,0.011633755851188981,0.0,-1.734723475976807e-18,0.01163375585118898
MT3_raw,0.02,835788,0.02151741829267709,17984,817776,835760,0.001549069713313686,0.0015483860129358075,0.0,6.837003778785433e-07,0.001549069713313686
MT3_raw,0.03,835788,0.02151741829267709,17983,816903,834886,-0.008712785104731589,-0.008744929595178256,0.0,3.214449044666723e-05,-0.008712785104731589
MT3_raw,0.05,835788,0.02151741829267709,17965,803739,821704,-0.02911869114126902,-0.029981664955076755,0.0,0.000862973813807736,-0.02911869114126902
MT3_raw,0.075,835788,0.02151741829267709,17854,760693,778547,-0.05243412302020466,-0.05781900725115989,0.0,0.005384884230955234,-0.05243412302020466
MT3_raw,0.1,835788,0.02151741829267709,17639,698115,715754,-0.07170398873079457,-0.08720286856369212,0.0,0.01549887983289755,-0.07170398873079457
MT3_raw,0.15,835788,0.02151741829267709,16791,553823,570614,-0.09684569602367502,-0.15115597847920342,0.0,0.05431028245552841,-0.09684569602367502
MT3_raw,0.2,835788,0.02151741829267709,15772,424439,440211,-0.10808691917089022,-0.22310322713415365,0.0,0.11501630796326343,-0.10808691917089022
MT3_raw,0.3,835788,0.02151741829267709,13476,242196,255672,-0.10806841652941382,-0.39783225958188984,0.0,0.28976384305247604,-0.10806841652941382
MT3_recalibrated_intercept_only,0.005,835788,0.02151741829267709,17220,621562,638782,0.016866206339791443,0.01660042039465034,0.0,0.0002657859451411018,0.016866206339791443
MT3_recalibrated_intercept_only,0.01,835788,0.02151741829267709,15191,369779,384970,0.013706655977183908,0.011633755851188981,0.0,0.002072900125994927,0.013706655977183908
MT3_recalibrated_intercept_only,0.02,835788,0.02151741829267709,11972,162171,174143,0.010364336117654287,0.0015483860129358075,0.0,0.00881595010471848,0.010364336117654287
MT3_recalibrated_intercept_only,0.03,835788,0.02151741829267709,10141,91127,101268,0.008761359549619917,-0.008744929595178256,0.0,0.017506289144798175,0.008761359549619917
MT3_recalibrated_intercept_only,0.05,835788,0.02151741829267709,8102,42976,51078,0.006987543806752304,-0.029981664955076755,0.0,0.03696920876182906,0.006987543806752304
MT3_recalibrated_intercept_only,0.075,835788,0.02151741829267709,6346,23800,30146,0.005283959892066255,-0.05781900725115989,0.0,0.06310296714322615,0.005283959892066255
MT3_recalibrated_intercept_only,0.1,835788,0.02151741829267709,5288,15498,20786,0.004266632208167621,-0.08720286856369212,0.0,0.09146950077185975,0.004266632208167621
MT3_recalibrated_intercept_only,0.15,835788,0.02151741829267709,3976,8238,12214,0.0030177931414636814,-0.15115597847920342,0.0,0.15417377162066712,0.0030177931414636814
MT3_recalibrated_intercept_only,0.2,835788,0.02151741829267709,3105,4995,8100,0.002220957946273457,-0.22310322713415365,0.0,0.2253241850804271,0.002220957946273457
MT3_recalibrated_intercept_only,0.3,835788,0.02151741829267709,1969,2309,4278,0.0011718624476883745,-0.39783225958188984,0.0,0.3990041220295782,0.0011718624476883745
M1_original_rich,0.005,835788,0.02151741829267709,17984,817189,835173,0.01660411804556338,0.01660042039465034,0.0,3.697650913039169e-06,0.01660411804556338
M1_original_rich,0.01,835788,0.02151741829267709,17982,816152,834134,0.011651328332113412,0.011633755851188981,0.0,1.7572480924430908e-05,0.011651328332113412
M1_original_rich,0.02,835788,0.02151741829267709,17975,808047,826022,0.001775862895805138,0.0015483860129358075,0.0,0.0002274768828693305,0.001775862895805138
M1_original_rich,0.03,835788,0.02151741829267709,17906,793996,811902,-0.007957253896427836,-0.008744929595178256,0.0,0.0007876756987504202,-0.007957253896427836
M1_original_rich,0.05,835788,0.02151741829267709,17738,754192,771930,-0.026270197453748666,-0.029981664955076755,0.0,0.0037114675013280897,-0.026270197453748666
M1_original_rich,0.075,835788,0.02151741829267709,17433,698398,715831,-0.046894505382782316,-0.05781900725115989,0.0,0.010924501868377574,-0.046894505382782316
M1_original_rich,0.1,835788,0.02151741829267709,17077,645164,662241,-0.06533700997009875,-0.08720286856369212,0.0,0.02186585859359337,-0.06533700997009875
M1_original_rich,0.15,835788,0.02151741829267709,16351,553231,569582,-0.09724714879849915,-0.15115597847920342,0.0,0.053908829680704276,-0.09724714879849915
M1_original_rich,0.2,835788,0.02151741829267709,15660,481047,496707,-0.1251534480035607,-0.22310322713415365,0.0,0.09794977913059294,-0.1251534480035607
M1_original_rich,0.3,835788,0.02151741829267709,14354,375982,390336,-0.17562006496520993,-0.39783225958188984,0.0,0.2222121946166799,-0.17562006496520993
C1_dynamic_SOFA,0.005,835788,0.02151741829267709,17984,817804,835788,0.01660042039465034,0.01660042039465034,0.0,0.0,0.01660042039465034
C1_dynamic_SOFA,0.01,835788,0.02151741829267709,17984,817804,835788,0.01163375585118898,0.011633755851188981,0.0,-1.734723475976807e-18,0.01163375585118898
C1_dynamic_SOFA,0.02,835788,0.02151741829267709,17984,817802,835786,0.0015484348486770848,0.0015483860129358075,0.0,4.8835741277286626e-08,0.0015484348486770848
C1_dynamic_SOFA,0.03,835788,0.02151741829267709,17984,817756,835740,-0.00874315338388727,-0.008744929595178256,0.0,1.7762112909866512e-06,-0.00874315338388727
C1_dynamic_SOFA,0.05,835788,0.02151741829267709,17984,815929,833913,-0.029863591699028188,-0.029981664955076755,0.0,0.00011807325604856755,-0.029863591699028188
C1_dynamic_SOFA,0.075,835788,0.02151741829267709,17876,800731,818607,-0.056291948598370806,-0.05781900725115989,0.0,0.0015270586527890845,-0.056291948598370806
C1_dynamic_SOFA,0.1,835788,0.02151741829267709,17632,750442,768074,-0.07866880649691602,-0.08720286856369212,0.0,0.008534062066776107,-0.07866880649691602
C1_dynamic_SOFA,0.15,835788,0.02151741829267709,16171,575009,591180,-0.10206078152664103,-0.15115597847920342,0.0,0.0490951969525624,-0.10206078152664103
C1_dynamic_SOFA,0.2,835788,0.02151741829267709,14150,390903,405053,-0.09999635074923306,-0.22310322713415365,0.0,0.12310687638492059,-0.09999635074923306
C1_dynamic_SOFA,0.3,835788,0.02151741829267709,11023,216200,227223,-0.09767326505901361,-0.39783225958188984,0.0,0.3001589945228762,-0.09767326505901361
