model_name,calibration_method,bin_label,row_n,mean_predicted_death,observed_death_rate
M1,raw,"(-0.0009999999638, 0.0593]",83626,0.038109078728419336,0.004591873340827016
M1,raw,"(0.0593, 0.0971]",83626,0.07794611042424747,0.006002917752851984
M1,raw,"(0.0971, 0.141]",83625,0.1182247705157358,0.006660687593423019
M1,raw,"(0.141, 0.195]",83626,0.16682985748398807,0.008657594528017603
M1,raw,"(0.195, 0.268]",83625,0.22986120500981008,0.010427503736920777
M1,raw,"(0.268, 0.37]",83626,0.31575458953134794,0.013871284050414942
M1,raw,"(0.37, 0.528]",83625,0.442379208990424,0.02121375186846039
M1,raw,"(0.528, 0.779]",83626,0.6443169994242767,0.043551048716906224
M1,raw,"(0.779, 0.993]",83625,0.9089460076986259,0.07475037369207772
M1,raw,"(0.993, 1.0]",83626,0.9991698529244766,0.02591299356659412
M1,intercept_only,"(-0.000999, 1.08e-06]",501754,1.0008653802053553e-06,0.008368642801053903
M1,intercept_only,"(1.08e-06, 2.05e-06]",83625,1.475283894480378e-06,0.02121375186846039
M1,intercept_only,"(2.05e-06, 6.44e-06]",83626,3.5584629977811404e-06,0.043551048716906224
M1,intercept_only,"(6.44e-06, 0.000255]",83625,4.693451882188326e-05,0.07475037369207772
M1,intercept_only,"(0.000255, 0.647]",83626,0.28118941020307403,0.02591299356659412
M1,logistic_recalibration,"(0.0073999999999999995, 0.0172]",83626,0.016554450311159014,0.004591873340827016
M1,logistic_recalibration,"(0.0172, 0.0178]",83626,0.017493828322225357,0.006002917752851984
M1,logistic_recalibration,"(0.0178, 0.0183]",83625,0.018025737417301426,0.006660687593423019
M1,logistic_recalibration,"(0.0183, 0.0187]",83626,0.018498422963306223,0.008657594528017603
M1,logistic_recalibration,"(0.0187, 0.0192]",83625,0.018980179685283403,0.010427503736920777
M1,logistic_recalibration,"(0.0192, 0.0198]",83626,0.01951999623833242,0.013871284050414942
M1,logistic_recalibration,"(0.0198, 0.0207]",83625,0.020214031696746067,0.02121375186846039
M1,logistic_recalibration,"(0.0207, 0.0222]",83626,0.021341542829423528,0.043551048716906224
M1,logistic_recalibration,"(0.0222, 0.0281]",83625,0.024401937494753622,0.07475037369207772
M1,logistic_recalibration,"(0.0281, 0.0493]",83626,0.040532589827457485,0.02591299356659412
M1,isotonic,"(-0.000999, 0.00593]",90765,0.0036486652169313966,0.0046824216382967
M1,isotonic,"(0.00593, 0.0087]",180271,0.008032854606941999,0.006662191922161635
M1,isotonic,"(0.0087, 0.0126]",128720,0.012453975281703545,0.009470167806090739
M1,isotonic,"(0.0126, 0.0153]",62150,0.015186814186646769,0.012051488334674175
M1,isotonic,"(0.0153, 0.0199]",59329,0.01953704445638698,0.016062970891132497
M1,isotonic,"(0.0199, 0.0297]",94268,0.026444463391159752,0.025777570331395595
M1,isotonic,"(0.0297, 0.0455]",220753,0.044323534779494654,0.05008312457814843
T1,raw,"(-0.000756, 0.0871]",83626,0.06133182998188536,0.0022481046564465598
T1,raw,"(0.0871, 0.127]",83626,0.10697415992367375,0.004089637194174061
T1,raw,"(0.127, 0.168]",83625,0.1471881778437032,0.005739910313901345
T1,raw,"(0.168, 0.216]",83626,0.19151673892560048,0.008119484370889437
T1,raw,"(0.216, 0.277]",83625,0.24549897709551,0.009937219730941704
T1,raw,"(0.277, 0.358]",83626,0.31550697172715664,0.013488627938679358
T1,raw,"(0.358, 0.473]",83625,0.4118380639225943,0.019659192825112106
T1,raw,"(0.473, 0.65]",83626,0.5551546068432389,0.029464520603640017
T1,raw,"(0.65, 0.895]",83625,0.7690050429129929,0.053034379671150975
T1,raw,"(0.895, 1.0]",83626,0.9712006971121291,0.06985865639872767
T1,intercept_only,"(-0.000999, 0.000155]",83626,0.00010694575723273208,0.0022481046564465598
T1,intercept_only,"(0.000155, 0.000236]",83626,0.00019514367309532218,0.004089637194174061
T1,intercept_only,"(0.000236, 0.000329]",83625,0.0002810902249698015,0.005739910313901345
T1,intercept_only,"(0.000329, 0.000449]",83626,0.0003858328892691784,0.008119484370889437
T1,intercept_only,"(0.000449, 0.000623]",83625,0.0005302444720893646,0.009937219730941704
T1,intercept_only,"(0.000623, 0.000907]",83626,0.000752105361244444,0.013488627938679358
T1,intercept_only,"(0.000907, 0.00146]",83625,0.0011467446631562026,0.019659192825112106
T1,intercept_only,"(0.00146, 0.00301]",83626,0.002075863201695022,0.029464520603640017
T1,intercept_only,"(0.00301, 0.0136]",83625,0.006206012369877003,0.053034379671150975
T1,intercept_only,"(0.0136, 0.999]",83626,0.3182022044532934,0.06985865639872767
T1,logistic_recalibration,"(0.00252, 0.0126]",83626,0.01146217650376477,0.0022481046564465598
T1,logistic_recalibration,"(0.0126, 0.0137]",83626,0.013167229446995686,0.004089637194174061
T1,logistic_recalibration,"(0.0137, 0.0147]",83625,0.014231559702765286,0.005739910313901345
T1,logistic_recalibration,"(0.0147, 0.0157]",83626,0.015219548188593267,0.008119484370889437
T1,logistic_recalibration,"(0.0157, 0.0169]",83625,0.01627648738300148,0.009937219730941704
T1,logistic_recalibration,"(0.0169, 0.0182]",83626,0.01751955648284148,0.013488627938679358
T1,logistic_recalibration,"(0.0182, 0.0202]",83625,0.019138624964266215,0.019659192825112106
T1,logistic_recalibration,"(0.0202, 0.0235]",83626,0.02164246694678404,0.029464520603640017
T1,logistic_recalibration,"(0.0235, 0.0323]",83625,0.026922095054340626,0.053034379671150975
T1,logistic_recalibration,"(0.0323, 0.29]",83626,0.0829340140794804,0.06985865639872767
T1,isotonic,"(-0.000999, 0.00522]",156794,0.003571675176239572,0.002940163526665561
T1,isotonic,"(0.00522, 0.00529]",53964,0.00529026812947284,0.0055777926024757245
T1,isotonic,"(0.00529, 0.00756]",51236,0.006855023678823164,0.006596924037785932
T1,isotonic,"(0.00756, 0.00943]",72785,0.008997520254311685,0.008092326715669437
T1,isotonic,"(0.00943, 0.0108]",84036,0.010668334186052836,0.010067114093959731
T1,isotonic,"(0.0108, 0.0195]",88342,0.017302422013548063,0.013459056847252722
T1,isotonic,"(0.0195, 0.0255]",81752,0.02236585318252493,0.02013406399843429
T1,isotonic,"(0.0255, 0.0367]",87227,0.03273337840544715,0.030197072007520608
T1,isotonic,"(0.0367, 0.0543]",88033,0.0493692926757226,0.057648836231867596
T1,isotonic,"(0.0543, 1.0]",72087,0.1392773301584757,0.06872251584890479
T2,raw,"(-0.000805, 0.0637]",83626,0.04497307275838009,0.0020567766005787675
T2,raw,"(0.0637, 0.0931]",83626,0.07833673668837585,0.0037308970894219503
T2,raw,"(0.0931, 0.125]",83625,0.10875425716209837,0.006074738415545591
T2,raw,"(0.125, 0.165]",83626,0.14427264160728492,0.007318298136943056
T2,raw,"(0.165, 0.218]",83625,0.19017588383365278,0.009865470852017937
T2,raw,"(0.218, 0.293]",83626,0.25335720832930736,0.014528974242460479
T2,raw,"(0.293, 0.406]",83625,0.34541660724756723,0.020125560538116594
T2,raw,"(0.406, 0.59]",83626,0.49052847519981835,0.027826274125272044
T2,raw,"(0.59, 0.868]",83625,0.723715924536803,0.051539611360239164
T2,raw,"(0.868, 1.0]",83626,0.9632991869087455,0.07257312319135197
T2,intercept_only,"(-0.000999, 0.000147]",83626,0.00010199610159976392,0.0020567766005787675
T2,intercept_only,"(0.000147, 0.000221]",83626,0.0001834552626211699,0.0037308970894219503
T2,intercept_only,"(0.000221, 0.000309]",83625,0.00026333898635273067,0.006074738415545591
T2,intercept_only,"(0.000309, 0.000426]",83626,0.0003638957395635787,0.007318298136943056
T2,intercept_only,"(0.000426, 0.000601]",83625,0.0005071262394195612,0.009865470852017937
