comparison_scope,model_name,feature_role,dataset_name,sample_n,death_n,death_rate,auroc_death_ovr,auprc_death,multiclass_brier,calibration_slope_death,delta_auroc_vs_MT3,delta_auprc_vs_MT3,delta_brier_vs_MT3,delta_slope_vs_MT3
overall,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,transport_default_candidate,mimic_internal_test,1030526.0,20807.0,0.0201906599154218,0.805345794028386,0.2052511028741349,0.5757758825650097,1.057985075769373,0.0,0.0,0.0,0.0
overall,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,transport_default_candidate,eicu_external,1051357.0,22593.0,0.0214893704041538,0.8090071140511993,0.1863245428838832,0.5926737670360287,0.9651508255083516,0.0,0.0,0.0,0.0
overall,A2_MT4_best_transport_hard_phenotype,phenotype_hard_label_sensitivity,mimic_internal_test,1030526.0,20807.0,0.0201906599154218,0.807332226607885,0.2043060752448874,0.5731538093400614,1.0465072866270893,0.0019864325794989313,-0.0009450276292475024,-0.0026220732249482293,-0.0114777891422837
overall,A2_MT4_best_transport_hard_phenotype,phenotype_hard_label_sensitivity,eicu_external,1051357.0,22593.0,0.0214893704041538,0.8110878293112073,0.1813184897464155,0.6213904020736144,0.9126688651101832,0.0020807152600079704,-0.005006053137467686,0.028716635037585703,-0.05248196039816844
overall,A3_best_transport_soft_membership,phenotype_soft_membership_sensitivity,mimic_internal_test,1030526.0,20807.0,0.0201906599154218,0.8071850100275433,0.2043655534796483,0.5733662921934937,1.0436819071108907,0.001839215999157262,-0.0008855493944865955,-0.0024095903715160016,-0.014303168658482246
overall,A3_best_transport_soft_membership,phenotype_soft_membership_sensitivity,eicu_external,1051357.0,22593.0,0.0214893704041538,0.8011934298262259,0.1587419649186651,0.6503198750172895,0.7848899655121343,-0.007813684224973416,-0.027582577965218097,0.0576461079812608,-0.18026085999621733
phenotype_label:Phenotype_1,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,,eicu_external,901939.0,17536.0,0.0194425565365285,0.8033426658665186,0.1694630507656393,0.5902639371421297,0.9823160164555806,,,,
phenotype_label:Phenotype_2,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,,eicu_external,88640.0,2482.0,0.0280009025270758,0.819432877090174,0.2302847700248927,0.5917295584215397,1.014201460553378,,,,
phenotype_label:Phenotype_3,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,,eicu_external,60778.0,2575.0,0.0423673039586692,0.8114804878606166,0.2618593856099331,0.6298124391914448,0.8535257208180494,,,,
phenotype_transfer_group:stable_transfer_Phenotype_1_2,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,,eicu_external,990579.0,20018.0,0.0202083831779191,0.805673651391009,0.1770671347890018,0.5903950853596941,0.987606306312318,,,,
phenotype_transfer_group:weak_transfer_Phenotype_3,A1_B2_MT3_best_transport_no_phenotype_shared_proxy,,eicu_external,60778.0,2575.0,0.0423673039586692,0.8114804878606166,0.2618593856099331,0.6298124391914448,0.8535257208180494,,,,
phenotype_label:Phenotype_1,A2_MT4_best_transport_hard_phenotype,,eicu_external,901939.0,17536.0,0.0194425565365285,0.8097820120421083,0.1705671884901693,0.6226748561294383,0.9872815629730928,,,,
phenotype_label:Phenotype_2,A2_MT4_best_transport_hard_phenotype,,eicu_external,88640.0,2482.0,0.0280009025270758,0.8191384149866597,0.2349481687336341,0.5610076881142301,1.025820708851084,,,,
phenotype_label:Phenotype_3,A2_MT4_best_transport_hard_phenotype,,eicu_external,60778.0,2575.0,0.0423673039586692,0.8120100104939042,0.2636807195258129,0.6903927476378646,0.8592783618533387,,,,
phenotype_transfer_group:stable_transfer_Phenotype_1_2,A2_MT4_best_transport_hard_phenotype,,eicu_external,990579.0,20018.0,0.0202083831779191,0.8097174161844002,0.177796090351181,0.617156691729761,0.9798762848970356,,,,
phenotype_transfer_group:weak_transfer_Phenotype_3,A2_MT4_best_transport_hard_phenotype,,eicu_external,60778.0,2575.0,0.0423673039586692,0.8120100104939042,0.2636807195258129,0.6903927476378646,0.8592783618533387,,,,
phenotype_label:Phenotype_1,A3_best_transport_soft_membership,,eicu_external,901939.0,17536.0,0.0194425565365285,0.8053180142640408,0.162799969266058,0.6462529215012784,0.935007694534506,,,,
phenotype_label:Phenotype_2,A3_best_transport_soft_membership,,eicu_external,88640.0,2482.0,0.0280009025270758,0.822779664832178,0.2283059704312902,0.5671341597971861,0.9992417010358396,,,,
phenotype_label:Phenotype_3,A3_best_transport_soft_membership,,eicu_external,60778.0,2575.0,0.0423673039586692,0.8059130305397464,0.2602169897363247,0.8319929439630843,0.8546709470263185,,,,
phenotype_transfer_group:stable_transfer_Phenotype_1_2,A3_best_transport_soft_membership,,eicu_external,990579.0,20018.0,0.0202083831779191,0.8039793138502918,0.1682436344517383,0.6391731358027619,0.9142306115403802,,,,
phenotype_transfer_group:weak_transfer_Phenotype_3,A3_best_transport_soft_membership,,eicu_external,60778.0,2575.0,0.0423673039586692,0.8059130305397464,0.2602169897363247,0.8319929439630843,0.8546709470263185,,,,
