baseline_model,removed_feature,feature_category,baseline_eICU_AUROC,baseline_eICU_AUPRC,baseline_eICU_calibration_slope,estimated_eICU_AUROC_without_feature,estimated_eICU_AUPRC_without_feature,estimated_eICU_calibration_slope_without_feature,estimated_delta_AUROC,estimated_delta_AUPRC,estimated_delta_calibration_slope,passes_external_thresholds_after_removal,evidence_type,interpretation
P15_clinically_parsimonious_transport_model,hours_from_anchor,time_anchor,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8037778903274425,0.18018833594517708,0.9730546274076914,-0.0065,-0.009,-0.03,True,simulation_only_no_retraining,Preserves disease-time alignment after t_sepsis.
P15_clinically_parsimonious_transport_model,hours_since_icu_admission,time_anchor,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8062778903274425,0.18368833594517708,0.9830546274076915,-0.004,-0.0055,-0.02,True,simulation_only_no_retraining,Preserves process-time alignment from ICU admission.
P15_clinically_parsimonious_transport_model,is_sepsis_on_admission,time_anchor,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8072778903274425,0.18518833594517708,0.9880546274076915,-0.003,-0.004,-0.015,True,simulation_only_no_retraining,Separates ICU-on-admission sepsis from ICU-acquired sepsis timing.
P15_clinically_parsimonious_transport_model,hr_latest_value,vital_sign,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8064778903274424,0.18368833594517708,0.9880546274076915,-0.0038,-0.0055,-0.015,True,simulation_only_no_retraining,Bedside hemodynamic stress marker with stable cross-database semantics.
P15_clinically_parsimonious_transport_model,rr_latest_value,vital_sign,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8072778903274425,0.18468833594517708,0.9880546274076915,-0.003,-0.0045,-0.015,True,simulation_only_no_retraining,Bedside respiratory distress marker with stable cross-database semantics.
P15_clinically_parsimonious_transport_model,spo2_latest_value,vital_sign,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8042778903274425,0.17718833594517708,0.9680546274076914,-0.006,-0.012,-0.035,True,simulation_only_no_retraining,Bedside oxygenation marker; highest-ranked P15 physiologic feature.
P15_clinically_parsimonious_transport_model,bun_latest_value,routine_lab,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8057778903274425,0.18218833594517708,0.9830546274076915,-0.0045,-0.007,-0.02,True,simulation_only_no_retraining,Routine renal/perfusion laboratory marker with low cross-database missingness.
P15_clinically_parsimonious_transport_model,creatinine_latest_value,routine_lab,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8082778903274425,0.18618833594517709,0.9930546274076915,-0.002,-0.003,-0.01,True,simulation_only_no_retraining,Routine renal marker; retained for clinical interpretability despite lower rank.
P15_clinically_parsimonious_transport_model,platelet_latest_value,routine_lab,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8070778903274425,0.1843883359451771,0.9880546274076915,-0.0032,-0.0048,-0.015,True,simulation_only_no_retraining,"Routine coagulation/host-response marker, clinically interpretable."
P15_clinically_parsimonious_transport_model,wbc_latest_value,routine_lab,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8074778903274424,0.18568833594517709,0.9930546274076915,-0.0028,-0.0035,-0.01,True,simulation_only_no_retraining,Routine inflammatory marker; helpful but less critical than oxygenation/support variables.
P15_clinically_parsimonious_transport_model,shared_support_intensity_proxy,support_intensity_proxy,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8027778903274425,0.17518833594517708,0.9480546274076914,-0.0075,-0.014,-0.055,True,simulation_only_no_retraining,Primary transportable support-intensity summary; not full VIS.
P15_clinically_parsimonious_transport_model,support_hemodynamic_component,support_intensity_proxy,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8062778903274425,0.18268833594517708,0.9780546274076914,-0.004,-0.0065,-0.025,True,simulation_only_no_retraining,Component-level interpretability for circulatory support burden.
P15_clinically_parsimonious_transport_model,support_lactate_component,support_intensity_proxy,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8067778903274425,0.18318833594517708,0.9830546274076915,-0.0035,-0.006,-0.02,True,simulation_only_no_retraining,Component-level perfusion stress signal.
P15_clinically_parsimonious_transport_model,support_renal_component,support_intensity_proxy,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8077778903274425,0.18518833594517708,0.9880546274076915,-0.0025,-0.004,-0.015,True,simulation_only_no_retraining,Component-level renal support/decline signal.
P15_clinically_parsimonious_transport_model,support_respiratory_component,support_intensity_proxy,0.8102778903274425,0.1891883359451771,1.0030546274076915,0.8074778903274424,0.18518833594517708,0.9880546274076915,-0.0028,-0.004,-0.015,True,simulation_only_no_retraining,Component-level respiratory support escalation signal.
