model_name,dataset_name,scenario,prediction_source,label_source,cluster_id_used,cluster_level,point_estimate_source,source_script,notes
P15_clinically_parsimonious_transport_model,mimic_internal,primary_model,D:\try\parsimonious_features\model_P15_minimal_bedside_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_Test_All.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Frozen model inference only; no retraining.
P12_true_trained_clinical_landing_model,mimic_internal,primary_model,D:\try\results_final\clinical_implementation\model_P12_true_trained_clinical_landing_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_Test_All.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Frozen model inference only; no retraining.
P10_true_trained_ultra_minimal_sensitivity_model,mimic_internal,primary_model,D:\try\results_final\clinical_implementation\model_P10_true_trained_ultra_minimal_sensitivity_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_Test_All.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Frozen model inference only; no retraining.
MT3_Post_METRE_transport_reference_model,mimic_internal,primary_model,D:\try\parsimonious_features\model_MT3_full_transport_set.pkl,D:\try\step7_main_modeling\output\Model_Ready_Test_All.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Frozen model inference only; no retraining.
P15_clinically_parsimonious_transport_model,eicu_external,primary_model,D:\try\parsimonious_features\model_P15_minimal_bedside_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Frozen model inference only; no retraining.
P12_true_trained_clinical_landing_model,eicu_external,primary_model,D:\try\results_final\clinical_implementation\model_P12_true_trained_clinical_landing_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Frozen model inference only; no retraining.
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,primary_model,D:\try\results_final\clinical_implementation\model_P10_true_trained_ultra_minimal_sensitivity_model.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Frozen model inference only; no retraining.
MT3_Post_METRE_transport_reference_model,eicu_external,primary_model,D:\try\parsimonious_features\model_MT3_full_transport_set.pkl,D:\try\step7_main_modeling\output\Model_Ready_eICU_External.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Frozen model inference only; no retraining.
M1_internal_rich_reference_model,mimic_internal,primary_model,D:\try\step7_main_modeling\output\pred_main_test_all.parquet,D:\try\step7_main_modeling\output\pred_main_test_all.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Existing prediction rows used; no retraining.
M1_internal_rich_reference_model,eicu_external,primary_model,D:\try\step7_main_modeling\output\pred_main_eicu_external.parquet,D:\try\step7_main_modeling\output\pred_main_eicu_external.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Existing prediction rows used; no retraining.
C1_dynamic_SOFA_clinical_comparator,mimic_internal,primary_model,D:\try\step7_main_modeling\output\pred_C1_test_all.parquet,D:\try\step7_main_modeling\output\pred_C1_test_all.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Existing prediction rows used; no retraining.
C1_dynamic_SOFA_clinical_comparator,eicu_external,primary_model,D:\try\step7_main_modeling\output\pred_C1_eicu_external.parquet,D:\try\step7_main_modeling\output\pred_C1_eicu_external.parquet,patient_id,patient-level,manuscript_assets/tables/Table2_Main_Model_Performance.csv,manuscript_assets/audit/run_bootstrap_ci.py,Existing prediction rows used; no retraining.
