dataset_name,model_name,threshold,evaluated_stay_n,death_label_positive_stay_n,first_alarm_stay_n,strict_true_alarm_stay_n,strict_lead_time_median_hours,strict_lead_time_iqr_low_hours,strict_lead_time_iqr_high_hours,strict_true_alarm_ppv
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.005,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.01,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.02,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.03,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.05,9032,1116,9028,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344483828090385
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.075,9032,1116,8964,312,9.016666666666667,4.033333333333333,15.754166666666666,0.0348058902275769
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.1,9032,1116,8750,313,9.016666666666667,4.033333333333333,15.75,0.0357714285714285
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.15,9032,1116,8114,315,9.6,4.033333333333333,16.075,0.0388217894996302
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.2,9032,1116,7246,323,9.383333333333333,4.033333333333333,15.8,0.0445763179685343
eicu_external,P12_true_trained_clinical_landing_model,0.005,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P12_true_trained_clinical_landing_model,0.01,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P12_true_trained_clinical_landing_model,0.02,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P12_true_trained_clinical_landing_model,0.03,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P12_true_trained_clinical_landing_model,0.05,9032,1116,9030,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344407530454042
eicu_external,P12_true_trained_clinical_landing_model,0.075,9032,1116,8956,312,9.016666666666667,4.025,15.754166666666666,0.0348369807949977
eicu_external,P12_true_trained_clinical_landing_model,0.1,9032,1116,8767,312,9.016666666666667,4.033333333333333,15.754166666666666,0.0355880004562564
eicu_external,P12_true_trained_clinical_landing_model,0.15,9032,1116,8158,315,9.516666666666667,4.016666666666667,15.858333333333334,0.0386124050012257
eicu_external,P12_true_trained_clinical_landing_model,0.2,9032,1116,7309,324,9.45,4.045833333333333,15.945833333333333,0.0443289095635517
eicu_external,P15_clinically_parsimonious_transport_model,0.005,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P15_clinically_parsimonious_transport_model,0.01,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P15_clinically_parsimonious_transport_model,0.02,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P15_clinically_parsimonious_transport_model,0.03,9032,1116,9032,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0344331266607617
eicu_external,P15_clinically_parsimonious_transport_model,0.05,9032,1116,9021,312,9.016666666666667,4.033333333333333,15.754166666666666,0.0345859660791486
eicu_external,P15_clinically_parsimonious_transport_model,0.075,9032,1116,8893,311,9.016666666666667,4.033333333333333,15.758333333333333,0.0349713257618351
eicu_external,P15_clinically_parsimonious_transport_model,0.1,9032,1116,8614,313,9.016666666666667,4.033333333333333,15.766666666666667,0.0363361968887857
eicu_external,P15_clinically_parsimonious_transport_model,0.15,9032,1116,7852,319,9.383333333333333,4.033333333333333,15.858333333333334,0.0406265919510952
eicu_external,P15_clinically_parsimonious_transport_model,0.2,9032,1116,6907,328,9.45,3.9958333333333336,15.766666666666667,0.0474880555957724
