model_name,dataset_name,scenario,metric_name,bootstrap_full_sample_estimate,bootstrap_CI_lower,bootstrap_CI_upper,n_resamples_requested,n_resamples_valid,n_resamples_skipped,cluster_id_used,cluster_level,point_source
P15_clinically_parsimonious_transport_model,mimic_internal,primary_model,AUROC,0.7976593393837257,0.7828078937598131,0.8128821829613658,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,mimic_internal,primary_model,AUPRC,0.19822890757280048,0.17720278234120532,0.219670809708665,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,mimic_internal,primary_model,death_Brier,0.08654074944399762,0.08285243160869475,0.09080561739383643,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,mimic_internal,primary_model,multiclass_Brier,0.584326729270786,0.5784527542185102,0.5907422447935099,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,mimic_internal,primary_model,calibration_intercept,-3.105163405233885,-3.191861374870506,-3.0286714917747095,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,mimic_internal,primary_model,calibration_slope,1.0634932816320717,1.004261647320219,1.1094564751403793,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P15_clinically_parsimonious_transport_model,mimic_internal,primary_model,ECE,0.22063448580427603,0.21501658674517496,0.22672820881567346,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P12_true_trained_clinical_landing_model,mimic_internal,primary_model,AUROC,0.7929667829809194,0.7777620008686132,0.8072741359023854,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P12_true_trained_clinical_landing_model,mimic_internal,primary_model,AUPRC,0.17849909099555097,0.15896956553884212,0.20022960345410581,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
P12_true_trained_clinical_landing_model,mimic_internal,primary_model,death_Brier,0.09133470406826366,0.08755861864001505,0.09569317118251033,1000,1000,0,patient_id,patient-level,frozen_model_file_plus_authoritative_table
