model_display_name,freshness_scenario,lab_value_interpretation,eICU_AUROC,eICU_AUPRC,eICU_calibration_slope,delta_AUPRC_vs_current,relative_AUPRC_drop_pct,noninferiority_status,clinical_interpretation,limitation_note,eICU_AUROC_95CI_lower,eICU_AUROC_95CI_upper,eICU_AUPRC_95CI_lower,eICU_AUPRC_95CI_upper,eICU_calibration_slope_95CI_lower,eICU_calibration_slope_95CI_upper
P15_clinically_parsimonious_transport_model,current_latest_value_reference,latest-available / capped carry-forward; not hourly real lab measurement,0.8103,0.1892,1.0031,0.0,0.0,acceptable,reference latest-available / capped carry-forward,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7963439206965869,0.8232339503024773,0.16812688882392224,0.211591489309093,0.941324915663837,1.058383574672345
P15_clinically_parsimonious_transport_model,lab12h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.7847,0.1674,0.9779,-0.0218,11.5271,borderline_acceptable,borderline acceptable for P15; not fully noninferior,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7706364324444402,0.797667860405124,0.14763338000990583,0.18786645209032188,0.9165095846890154,1.0292843131693519
P15_clinically_parsimonious_transport_model,lab24h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.8085,0.186,0.9991,-0.0032,1.708,acceptable,largely stable,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7946125854228284,0.8214082913898637,0.16507339519027772,0.2070762762138142,0.9372454189980657,1.0523575566590861
P15_clinically_parsimonious_transport_model,stale_lab_as_missing,latest-available / capped carry-forward; not hourly real lab measurement,0.7847,0.1674,0.9779,-0.0218,11.5271,borderline_acceptable,stress-test scenario,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7706364324444402,0.797667860405124,0.14763338000990583,0.18786645209032188,0.9165095846890154,1.0292843131693519
P12_true_trained_clinical_landing_model,current_latest_value_reference,latest-available / capped carry-forward; not hourly real lab measurement,0.8038,0.1767,1.01,0.0,0.0,acceptable,reference latest-available / capped carry-forward,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7897441843347274,0.8166174675104577,0.15756658090805598,0.19764521907418897,0.9475955625661882,1.0655236664946628
P12_true_trained_clinical_landing_model,lab12h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.7767,0.1545,0.9578,-0.0223,12.5908,borderline_acceptable,borderline acceptable for P15; not fully noninferior,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7628531464452496,0.7892972313350802,0.13657594116842178,0.17330613177742948,0.8987290059397411,1.0091060228566406
P12_true_trained_clinical_landing_model,lab24h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.8015,0.1721,0.9898,-0.0046,2.6015,acceptable,largely stable,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7874874727828544,0.8142678923813942,0.15317618628010646,0.19211766886407394,0.9327325793640249,1.0408278772724195
P12_true_trained_clinical_landing_model,stale_lab_as_missing,latest-available / capped carry-forward; not hourly real lab measurement,0.7767,0.1545,0.9578,-0.0223,12.5908,borderline_acceptable,stress-test scenario,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7628531464452496,0.7892972313350802,0.13657594116842178,0.17330613177742948,0.8987290059397411,1.0091060228566406
P10_true_trained_ultra_minimal_sensitivity_model,current_latest_value_reference,latest-available / capped carry-forward; not hourly real lab measurement,0.7978,0.1711,1.0133,0.0,0.0,acceptable,reference latest-available / capped carry-forward,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7833785792096832,0.8107582947762925,0.15260048794625541,0.1920866266966303,0.9542482334174383,1.0720331400630425
P10_true_trained_ultra_minimal_sensitivity_model,lab12h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.7743,0.1498,0.9444,-0.0213,12.4425,borderline_acceptable,borderline acceptable for P15; not fully noninferior,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7601883992579529,0.786967647010074,0.13238045403058818,0.16790974020756197,0.889828921642104,0.9987320869758073
P10_true_trained_ultra_minimal_sensitivity_model,lab24h_freshness_window,latest-available / capped carry-forward; not hourly real lab measurement,0.795,0.1634,0.9723,-0.0077,4.4979,acceptable,largely stable,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7809036510828539,0.8080312789799707,0.1456673082928429,0.18308814826338102,0.9184793524562205,1.0275566736333293
P10_true_trained_ultra_minimal_sensitivity_model,stale_lab_as_missing,latest-available / capped carry-forward; not hourly real lab measurement,0.7743,0.1498,0.9444,-0.0213,12.4425,borderline_acceptable,stress-test scenario,Result availability time incomplete; chart/sample time used as conservative approximation.,0.7601883992579529,0.786967647010074,0.13238045403058818,0.16790974020756197,0.889828921642104,0.9987320869758073
