feature_set,feature,feature_order,mimic_missing_rate,eicu_missing_rate,clinical_domain,clinical_interpretability
F25_clinical_core_set,hours_since_icu_admission,1,0.0,0.0,time_anchor,direct_or_bedside
F25_clinical_core_set,hours_from_anchor,2,0.0,0.0,time_anchor,direct_or_bedside
F25_clinical_core_set,is_sepsis_on_admission,3,0.0,0.0,time_anchor,direct_or_bedside
F25_clinical_core_set,hr_latest_value,4,0.0738318830224309,0.010531151644969311,circulation_vitals,direct_or_bedside
F25_clinical_core_set,rr_latest_value,5,0.08141411692653176,0.05728786701377363,respiration,direct_or_bedside
F25_clinical_core_set,spo2_latest_value,6,0.09380980937555822,0.03093525795709735,respiration,direct_or_bedside
F25_clinical_core_set,creatinine_latest_value,7,0.025059330900553754,0.05043767245569298,renal,direct_or_bedside
F25_clinical_core_set,bun_latest_value,8,0.024851991731951923,0.0512033495758339,renal,direct_or_bedside
F25_clinical_core_set,platelet_latest_value,9,0.02962398244315717,0.07147619695308063,lab_organ_function,direct_or_bedside
F25_clinical_core_set,wbc_latest_value,10,0.02928586010666803,0.07189185024687142,lab_organ_function,direct_or_bedside
F25_clinical_core_set,shared_support_intensity_proxy,11,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F25_clinical_core_set,support_hemodynamic_component,12,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F25_clinical_core_set,support_lactate_component,13,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F25_clinical_core_set,support_renal_component,14,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F25_clinical_core_set,support_respiratory_component,15,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F25_clinical_core_set,hr_slope_6h,16,0.005795927220761987,0.00329669179926514,circulation_vitals,derived_but_clinically_named
F25_clinical_core_set,creatinine_relative_rise_from_24h_min,17,0.025059330900553754,0.05043767245569298,renal,derived_but_clinically_named
F25_clinical_core_set,platelet_relative_drop_24h,18,0.02962398244315717,0.07147619695308063,lab_organ_function,derived_but_clinically_named
F25_clinical_core_set,antibiotics_active_current,19,0.0,0.0,respiration,direct_or_bedside
F25_clinical_core_set,culture_flag_current,20,0.0,0.0,respiration,direct_or_bedside
F25_clinical_core_set,support_proxy_component_count,21,0.0,0.0,support_intensity_proxy,derived_but_clinically_named
F25_clinical_core_set,creatinine_hours_since_last_real_measurement,22,0.001805445683517493,0.0026965150752789016,renal,derived_but_clinically_named
F25_clinical_core_set,platelet_hours_since_last_real_measurement,23,0.0021627070201852656,0.00454935859084973,lab_organ_function,derived_but_clinically_named
F25_clinical_core_set,wbc_hours_since_last_real_measurement,24,0.0020797713527445326,0.004467559544474427,lab_organ_function,derived_but_clinically_named
F25_clinical_core_set,fio2_hours_since_last_real_measurement,25,0.14524587235562814,0.13432925257548103,respiration,derived_but_clinically_named
