model_name,feature,death_class_coefficient,abs_death_class_coefficient,importance_rank,feature_set
P15_minimal_bedside_model,spo2_latest_value,-0.24465085288633076,0.24465085288633076,1,F15_minimal_bedside_set
P15_minimal_bedside_model,hours_from_anchor,0.23416652278183933,0.23416652278183933,2,F15_minimal_bedside_set
P15_minimal_bedside_model,bun_latest_value,0.23366183396405876,0.23366183396405876,3,F15_minimal_bedside_set
P15_minimal_bedside_model,shared_support_intensity_proxy,0.21105577296736333,0.21105577296736333,4,F15_minimal_bedside_set
P15_minimal_bedside_model,support_lactate_component,0.2028139380151045,0.2028139380151045,5,F15_minimal_bedside_set
P15_minimal_bedside_model,support_hemodynamic_component,0.1942397967307769,0.1942397967307769,6,F15_minimal_bedside_set
P15_minimal_bedside_model,hr_latest_value,0.19158462737807033,0.19158462737807033,7,F15_minimal_bedside_set
P15_minimal_bedside_model,wbc_latest_value,0.1720395417424336,0.1720395417424336,8,F15_minimal_bedside_set
P15_minimal_bedside_model,is_sepsis_on_admission,-0.14905273520943185,0.14905273520943185,9,F15_minimal_bedside_set
P15_minimal_bedside_model,platelet_latest_value,-0.1395197425979885,0.1395197425979885,10,F15_minimal_bedside_set
P15_minimal_bedside_model,support_respiratory_component,0.09174166563104491,0.09174166563104491,11,F15_minimal_bedside_set
P15_minimal_bedside_model,rr_latest_value,0.08151033513410481,0.08151033513410481,12,F15_minimal_bedside_set
P15_minimal_bedside_model,support_renal_component,0.03886480247419618,0.03886480247419618,13,F15_minimal_bedside_set
P15_minimal_bedside_model,hours_since_icu_admission,0.03410750365187174,0.03410750365187174,14,F15_minimal_bedside_set
P15_minimal_bedside_model,creatinine_latest_value,-0.02119142847775852,0.02119142847775852,15,F15_minimal_bedside_set
P25_clinical_core_model,fio2_hours_since_last_real_measurement,-0.38465927842451914,0.38465927842451914,1,F25_clinical_core_set
P25_clinical_core_model,bun_latest_value,0.2525308689281544,0.2525308689281544,2,F25_clinical_core_set
P25_clinical_core_model,support_lactate_component,0.2262189390684723,0.2262189390684723,3,F25_clinical_core_set
P25_clinical_core_model,spo2_latest_value,-0.22027345684679267,0.22027345684679267,4,F25_clinical_core_set
P25_clinical_core_model,shared_support_intensity_proxy,0.21064569171446587,0.21064569171446587,5,F25_clinical_core_set
P25_clinical_core_model,hr_latest_value,0.20483405343297376,0.20483405343297376,6,F25_clinical_core_set
P25_clinical_core_model,wbc_latest_value,0.200504604686616,0.200504604686616,7,F25_clinical_core_set
P25_clinical_core_model,support_hemodynamic_component,0.17826061290671827,0.17826061290671827,8,F25_clinical_core_set
P25_clinical_core_model,hours_from_anchor,0.17773283857584582,0.17773283857584582,9,F25_clinical_core_set
P25_clinical_core_model,creatinine_hours_since_last_real_measurement,0.17257836040766075,0.17257836040766075,10,F25_clinical_core_set
P25_clinical_core_model,hours_since_icu_admission,0.1543692152085542,0.1543692152085542,11,F25_clinical_core_set
P25_clinical_core_model,is_sepsis_on_admission,-0.14954433558592398,0.14954433558592398,12,F25_clinical_core_set
P25_clinical_core_model,antibiotics_active_current,-0.14634960175450565,0.14634960175450565,13,F25_clinical_core_set
P25_clinical_core_model,platelet_latest_value,-0.14148995711264567,0.14148995711264567,14,F25_clinical_core_set
P25_clinical_core_model,rr_latest_value,0.10860207368290972,0.10860207368290972,15,F25_clinical_core_set
P25_clinical_core_model,support_respiratory_component,0.06698543963392561,0.06698543963392561,16,F25_clinical_core_set
P25_clinical_core_model,platelet_relative_drop_24h,0.06101863206894037,0.06101863206894037,17,F25_clinical_core_set
