use_case,dataset_name,subgroup_definition,phenotype_name,effective_sample_n,effective_death_n,death_rate,auroc_death,auprc_death,death_brier,multiclass_brier,calibration_intercept_death,calibration_slope_death,mean_predicted_death,phenotype_confidence_mean,phenotype_confidence_median,p1_auroc_death,p1_auprc_death,p1_death_brier,p1_multiclass_brier,p1_calibration_intercept_death,p1_calibration_slope_death,delta_auroc_vs_p1,delta_auprc_vs_p1,delta_death_brier_vs_p1,delta_multiclass_brier_vs_p1,delta_calibration_intercept_vs_p1,delta_calibration_slope_vs_p1
P1_no_phenotype,internal_test,hard_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.8787537871647891,0.2750708162138075,0.0714482242743306,0.5133954674061951,-3.2249611580487243,0.8935248171618667,0.18456891555102298,0.658087551498756,0.6387467169505214,0.8787537871647891,0.2750708162138075,0.0714482242743306,0.5133954674061951,-3.2249611580487243,0.8935248171618667,0.0,0.0,0.0,0.0,0.0,0.0
P1_no_phenotype,internal_test,hard_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.8584044185280977,0.26611763207856204,0.09228754718166426,0.39635843577847385,-3.327511663186303,0.9048049222980906,0.22937686035454935,0.5338588486520454,0.5468795324587888,0.8584044185280977,0.26611763207856204,0.09228754718166426,0.39635843577847385,-3.327511663186303,0.9048049222980906,0.0,0.0,0.0,0.0,0.0,0.0
P1_no_phenotype,internal_test,hard_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.8500612782533775,0.31475811064751913,0.1517474602200321,0.44811004607814214,-3.417780172461977,0.9401119604459491,0.32335558050975816,0.5113863650286866,0.5214710936618844,0.8500612782533775,0.31475811064751913,0.1517474602200321,0.44811004607814214,-3.417780172461977,0.9401119604459491,0.0,0.0,0.0,0.0,0.0,0.0
P1_no_phenotype,external_eicu,hard_label,Phenotype_1,901939.0,17536.0,0.019442556536528523,0.7019274694034914,0.03345107659953961,0.25275800822734046,0.8959566200334379,-3.9697468513271064,0.06918003848044574,0.3904969996161638,0.8562107477377385,0.9333870749920593,0.7019274694034914,0.03345107659953961,0.25275800822734046,0.8959566200334379,-3.9697468513271064,0.06918003848044574,0.0,0.0,0.0,0.0,0.0,0.0
P1_no_phenotype,external_eicu,hard_label,Phenotype_2,88640.0,2482.0,0.02800090252707581,0.6782741072428464,0.04233649412548236,0.3785053638767707,0.9616410794662746,-3.6746066618791287,0.06057985035474241,0.5280210529924796,0.6228419603064183,0.561273589941276,0.6782741072428464,0.04233649412548236,0.3785053638767707,0.9616410794662746,-3.6746066618791287,0.06057985035474241,0.0,0.0,0.0,0.0,0.0,0.0
P1_no_phenotype,external_eicu,hard_label,Phenotype_3,60778.0,2575.0,0.04236730395866926,0.7493806661619051,0.08493380744836096,0.30578160689730727,0.8746717612918117,-3.2480365678263245,0.10103792548753825,0.46515757849486233,0.8709009625312132,0.904313732199863,0.7493806661619051,0.08493380744836096,0.30578160689730727,0.8746717612918117,-3.2480365678263245,0.10103792548753825,0.0,0.0,0.0,0.0,0.0,0.0
P2_phenotype_input,internal_test,hard_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.8793393359222824,0.27600694158404526,0.06703749675144259,0.5017744716288884,-3.157581341900738,0.8979350976069896,0.1769617135604273,0.658087551498756,0.6387467169505214,0.8787537871647891,0.2750708162138075,0.0714482242743306,0.5133954674061951,-3.2249611580487243,0.8935248171618667,0.0005855487574932816,0.0009361253702377392,-0.004410727522888014,-0.011620995777306686,0.06737981614798638,0.004410280445122927
P2_phenotype_input,internal_test,hard_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.8600707381992686,0.2677908559158024,0.09437284291815631,0.40497093848912497,-3.3564427721479517,0.9097518756239361,0.23346702140945366,0.5338588486520454,0.5468795324587888,0.8584044185280977,0.26611763207856204,0.09228754718166426,0.39635843577847385,-3.327511663186303,0.9048049222980906,0.0016663196711709238,0.001673223837240334,0.002085295736492049,0.008612502710651115,-0.028931108961648633,0.004946953325845493
P2_phenotype_input,internal_test,hard_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.8496192403591114,0.31482935526381217,0.1832595092937173,0.508599868311734,-3.664250184168657,0.9420730414275456,0.367143106643715,0.5113863650286866,0.5214710936618844,0.8500612782533775,0.31475811064751913,0.1517474602200321,0.44811004607814214,-3.417780172461977,0.9401119604459491,-0.00044203789426611184,7.124461629304246e-05,0.03151204907368518,0.06048982223359184,-0.24647001170668004,0.001961080981596419
P2_phenotype_input,external_eicu,hard_label,Phenotype_1,901939.0,17536.0,0.019442556536528523,0.702386330323742,0.03349644080346417,0.24012215691061042,0.868147767932109,-3.9587230257912345,0.06795583699970748,0.37320875942382825,0.8562107477377385,0.9333870749920593,0.7019274694034914,0.03345107659953961,0.25275800822734046,0.8959566200334379,-3.9697468513271064,0.06918003848044574,0.0004588609202506033,4.536420392456386e-05,-0.012635851316730035,-0.027808852101328885,0.01102382553587189,-0.0012242014807382628
P2_phenotype_input,external_eicu,hard_label,Phenotype_2,88640.0,2482.0,0.02800090252707581,0.6776302925949493,0.04227738224267834,0.3734668950016344,0.9555004750337776,-3.6711582644186294,0.060254374478549796,0.5216248477711447,0.6228419603064183,0.561273589941276,0.6782741072428464,0.04233649412548236,0.3785053638767707,0.9616410794662746,-3.6746066618791287,0.06057985035474241,-0.0006438146478970896,-5.911188280402491e-05,-0.005038468875136315,-0.006140604432497088,0.0034483974604992973,-0.0003254758761926102
P2_phenotype_input,external_eicu,hard_label,Phenotype_3,60778.0,2575.0,0.04236730395866926,0.7490880912454216,0.08478123024348094,0.33719089593514906,0.9254079641868668,-3.2782468467663826,0.1025546428540145,0.5055323257336656,0.8709009625312132,0.904313732199863,0.7493806661619051,0.08493380744836096,0.30578160689730727,0.8746717612918117,-3.2480365678263245,0.10103792548753825,-0.0002925749164834901,-0.0001525772048800167,0.03140928903784179,0.050736202895055094,-0.03021027894005801,0.0015167173664762529
P3_stratification_only,internal_test,hard_label,Phenotype_1,611693.0,11402.0,0.01864006944660148,0.8787537871647891,0.2750708162138075,0.0714482242743306,0.5133954674061951,-3.2249611580487243,0.8935248171618667,0.18456891555102298,0.658087551498756,0.6387467169505214,0.8787537871647891,0.2750708162138075,0.0714482242743306,0.5133954674061951,-3.2249611580487243,0.8935248171618667,0.0,0.0,0.0,0.0,0.0,0.0
P3_stratification_only,internal_test,hard_label,Phenotype_2,371043.0,7852.0,0.021161967750368556,0.8584044185280977,0.26611763207856204,0.09228754718166426,0.39635843577847385,-3.327511663186303,0.9048049222980906,0.22937686035454935,0.5338588486520454,0.5468795324587888,0.8584044185280977,0.26611763207856204,0.09228754718166426,0.39635843577847385,-3.327511663186303,0.9048049222980906,0.0,0.0,0.0,0.0,0.0,0.0
P3_stratification_only,internal_test,hard_label,Phenotype_3,47790.0,1553.0,0.03249633814605566,0.8500612782533775,0.31475811064751913,0.1517474602200321,0.44811004607814214,-3.417780172461977,0.9401119604459491,0.32335558050975816,0.5113863650286866,0.5214710936618844,0.8500612782533775,0.31475811064751913,0.1517474602200321,0.44811004607814214,-3.417780172461977,0.9401119604459491,0.0,0.0,0.0,0.0,0.0,0.0
P3_stratification_only,internal_test,soft_membership,Phenotype_1,546472.603174,10505.905935,0.019224945356784626,0.873520606982324,0.2709279971633408,0.0775572068214644,0.4822241343722995,-3.2661382854998706,0.8960415815595991,0.1970842109719903,0.606555576282452,0.5823121383528084,0.8787537871647891,0.2750708162138075,0.0714482242743306,0.5133954674061951,-3.2249611580487243,0.8935248171618667,-0.0052331801824651025,-0.004142819050466706,0.0061089825471337955,-0.031171333033895632,-0.04117712745114632,0.0025167643977324072
P3_stratification_only,internal_test,soft_membership,Phenotype_2,380538.76502,7872.993246,0.020689070259599488,0.867820296833788,0.2736443926394462,0.08462687895913248,0.4518509013493793,-3.271619556181649,0.9020480486156526,0.2120821036473616,0.606555576282452,0.5823121383528084,0.8584044185280977,0.26611763207856204,0.09228754718166426,0.39635843577847385,-3.327511663186303,0.9048049222980906,0.00941587830569035,0.007526760560884138,-0.00766066822253178,0.055492465570905425,0.05589210700465408,-0.0027568736824380435
P3_stratification_only,internal_test,soft_membership,Phenotype_3,103514.617187,2428.100888,0.023456599212588653,0.8639476829959067,0.2861993980427451,0.10252023034188065,0.45454980074739487,-3.3445009930765983,0.9029266802734307,0.2420409074051239,0.606555576282452,0.5823121383528084,0.8500612782533775,0.31475811064751913,0.1517474602200321,0.44811004607814214,-3.417780172461977,0.9401119604459491,0.013886404742529224,-0.02855871260477405,-0.04922722987815145,0.0064397546692527285,0.07327917938537887,-0.03718528017251843
