model_name,threshold,evaluated_stay_n,eventual_death_stay_n,first_alarm_stay_n,strict_true_alarm_stay_n,false_or_non_strict_first_alarm_stay_n,no_alarm_stay_n,strict_true_alarm_ppv,strict_eventual_death_capture_rate,strict_lead_time_median_hours,strict_lead_time_iqr_low_hours,strict_lead_time_iqr_high_hours,strict_lead_time_max_hours
C1_dynamic_SOFA,0.005,7214,893,7214,251,6963,0,0.03479345716662046,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
C1_dynamic_SOFA,0.01,7214,893,7214,251,6963,0,0.03479345716662046,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
C1_dynamic_SOFA,0.02,7214,893,7214,251,6963,0,0.03479345716662046,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
C1_dynamic_SOFA,0.03,7214,893,7214,251,6963,0,0.03479345716662046,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
C1_dynamic_SOFA,0.05,7214,893,7212,251,6961,2,0.03480310593455352,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
C1_dynamic_SOFA,0.075,7214,893,7158,251,6907,56,0.0350656607991059,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
C1_dynamic_SOFA,0.1,7214,893,6817,255,6562,397,0.03740648379052369,0.2855543113101904,8.766666666666667,4.041666666666666,15.933333333333334,23.983333333333334
C1_dynamic_SOFA,0.15,7214,893,5497,247,5250,1717,0.04493360014553393,0.2765957446808511,9.016666666666667,4.416666666666667,15.8,23.966666666666665
C1_dynamic_SOFA,0.2,7214,893,4292,252,4040,2922,0.05871388630009319,0.2821948488241881,8.833333333333334,4.195833333333334,15.891666666666666,23.75
M1_original_rich,0.005,7214,893,7214,251,6963,0,0.03479345716662046,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
M1_original_rich,0.01,7214,893,7213,251,6962,1,0.0347982808817413,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
M1_original_rich,0.02,7214,893,7205,251,6954,9,0.034836918806384454,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
M1_original_rich,0.03,7214,893,7193,251,6942,21,0.03489503684137356,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
M1_original_rich,0.05,7214,893,7158,251,6907,56,0.0350656607991059,0.2810750279955207,8.366666666666667,3.666666666666667,15.675,23.75
M1_original_rich,0.075,7214,893,7021,253,6768,193,0.03603475288420453,0.28331466965285557,8.4,3.7,15.833333333333334,23.75
M1_original_rich,0.1,7214,893,6848,254,6594,366,0.0370911214953271,0.284434490481523,8.5,3.716666666666667,15.870833333333334,23.75
M1_original_rich,0.15,7214,893,6473,255,6218,741,0.039394407539008185,0.2855543113101904,8.4,4.016666666666667,15.666666666666666,23.75
M1_original_rich,0.2,7214,893,6109,259,5850,1105,0.04239646423309871,0.29003359462486,8.4,3.8833333333333333,15.5,23.75
MT3_raw,0.005,7214,893,7214,251,6963,0,0.03479345716662046,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
MT3_raw,0.01,7214,893,7214,251,6963,0,0.03479345716662046,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
MT3_raw,0.02,7214,893,7214,251,6963,0,0.03479345716662046,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
MT3_raw,0.03,7214,893,7213,251,6962,1,0.0347982808817413,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
MT3_raw,0.05,7214,893,7197,251,6946,17,0.03487564262887314,0.2810750279955207,8.366666666666667,3.7333333333333334,15.675,23.75
MT3_raw,0.075,7214,893,7103,252,6851,111,0.03547796705617345,0.2821948488241881,8.316666666666666,3.75,15.666666666666666,23.75
MT3_raw,0.1,7214,893,6908,255,6653,306,0.036913723219455706,0.2855543113101904,8.6,3.7333333333333334,15.8,23.75
MT3_raw,0.15,7214,893,6321,261,6060,893,0.04129093497864262,0.29227323628219487,8.666666666666666,3.7666666666666666,15.883333333333333,23.75
MT3_raw,0.2,7214,893,5660,266,5394,1554,0.0469964664310954,0.2978723404255319,8.633333333333333,3.6083333333333334,15.741666666666667,23.75
MT3_recalibrated_intercept_only,0.005,7214,893,6606,256,6350,608,0.03875264910687254,0.2866741321388578,8.5,3.75,15.783333333333335,23.75
MT3_recalibrated_intercept_only,0.01,7214,893,5328,272,5056,1886,0.05105105105105105,0.3045912653975364,8.383333333333333,3.625,15.691666666666666,23.75
MT3_recalibrated_intercept_only,0.02,7214,893,3727,301,3426,3487,0.08076200697612021,0.3370660694288914,7.433333333333334,3.316666666666667,13.916666666666666,23.75
