dataset_name,scenario,model_name,bin,n,mean_predicted_death_prob,observed_death_rate,absolute_calibration_error
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.00422, 0.0811]",103053,0.06390526812722137,0.004289055146380988,0.05961621298084038
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.0811, 0.106]",103053,0.09384421906099044,0.004609278720658302,0.08923494034033214
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.106, 0.131]",103052,0.11825627563659603,0.00639482979466677,0.11186144584192927
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.131, 0.157]",103053,0.1437269519854783,0.007403957187078493,0.13632299479839982
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.157, 0.189]",103052,0.17271856851470038,0.007792182587431588,0.1649263859272688
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.189, 0.227]",103053,0.20736407829139297,0.010295673100249387,0.19706840519114358
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.227, 0.277]",103052,0.25101401026300113,0.013371889919652215,0.23764212034334892
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.277, 0.351]",103053,0.31187525538242655,0.016690440841120587,0.29518481454130596
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.351, 0.481]",103052,0.40849595460861354,0.02664674145091798,0.38184921315769554
mimic_internal,current_latest_value_reference,P15_clinically_parsimonious_transport_model,"(0.481, 1.0]",103053,0.6370507509655606,0.10441229270375438,0.5326384582618062
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.00508, 0.0883]",103053,0.07045076300153877,0.004230832678330567,0.0662199303232082
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.0883, 0.114]",103053,0.1014200611082455,0.004259943912355778,0.09716011719588973
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.114, 0.139]",103052,0.12623226339407123,0.00652097969956915,0.11971128369450208
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.139, 0.166]",103053,0.15187299704527935,0.00707402986812611,0.14479896717715324
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.166, 0.197]",103052,0.18088846315482454,0.007792182587431588,0.17309628056739296
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.197, 0.236]",103053,0.2157589495029462,0.01148923369528301,0.20426971580766318
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.236, 0.287]",103052,0.2601277053195351,0.014652796646353298,0.2454749086731818
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.287, 0.362]",103053,0.3219457910445758,0.018281854967832085,0.30366393607674375
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.362, 0.492]",103052,0.4194921034365105,0.027073710359818343,0.39241839307669213
mimic_internal,current_latest_value_reference,P12_true_trained_clinical_landing_model,"(0.492, 1.0]",103053,0.6480248997121612,0.10053079483372633,0.5474941048784349
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.007970000000000001, 0.0891]",103053,0.07091086509982328,0.004764538635459423,0.06614632646436386
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.0891, 0.115]",103053,0.10207721070747058,0.00442490757183197,0.09765230313563861
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.115, 0.139]",103052,0.12684335069620592,0.007035283158017312,0.11980806753818861
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.139, 0.167]",103053,0.15274589678990225,0.007520402123179335,0.1452254946667229
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.167, 0.198]",103052,0.18195182262060733,0.008374412917750262,0.17357740970285707
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.198, 0.237]",103053,0.21699961839561696,0.011780346035535114,0.20521927236008186
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.237, 0.289]",103052,0.26145902547770034,0.013274851531265768,0.24818417394643458
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.289, 0.364]",103053,0.3233236510393121,0.018058668840305474,0.3052649821990066
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.364, 0.493]",103052,0.42088781350003146,0.02729689865310717,0.39359091484692427
mimic_internal,current_latest_value_reference,P10_true_trained_ultra_minimal_sensitivity_model,"(0.493, 1.0]",103053,0.6452616296401169,0.09937604921739299,0.545885580422724
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.00519, 0.0862]",103053,0.0681782532450848,0.004677204933383793,0.063501048311701
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.0862, 0.111]",103053,0.09882256266202505,0.005666986890240944,0.0931555757717841
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.111, 0.135]",103052,0.12254230271052474,0.007006171641501378,0.11553613106902336
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.135, 0.16]",103053,0.1470971271115116,0.008131738037708752,0.13896538907380285
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.16, 0.19]",103052,0.17445915060462508,0.008869308698521134,0.16558984190610396
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.19, 0.226]",103053,0.20698258106225007,0.010150116930123335,0.19683246413212674
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.226, 0.273]",103052,0.24816891729537105,0.013653301245972907,0.23451561604939813
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.273, 0.343]",103053,0.3052606424794754,0.016457550968918905,0.2888030915105565
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.343, 0.467]",103052,0.39716409326819485,0.026336218608081358,0.37082787466011347
mimic_internal,lab12h_freshness_window,P15_clinically_parsimonious_transport_model,"(0.467, 1.0]",103053,0.6205182100054599,0.10095775959942942,0.5195604504060305
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.00555, 0.095]",103053,0.07580669992400363,0.004609278720658302,0.07119742120334532
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.095, 0.121]",103053,0.10833316195385742,0.004958613528960826,0.1033745484248966
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.121, 0.145]",103052,0.13296368829589472,0.007229359934790203,0.1257343283611045
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.145, 0.172]",103053,0.1582080250953071,0.00804440433563312,0.150163620759674
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.172, 0.202]",103052,0.1862530608598104,0.00885960485968249,0.1773934560001279
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.202, 0.239]",103053,0.21968320086522083,0.01144071497190766,0.20824248589331318
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.239, 0.288]",103052,0.26187297134285525,0.014235531576291581,0.24763743976656366
mimic_internal,lab12h_freshness_window,P12_true_trained_clinical_landing_model,"(0.288, 0.361]",103053,0.32123434185767225,0.01781607522342872,0.30341826663424354
