dataset_name,model_name,bin,n,mean_predicted_death_prob,observed_death_rate,absolute_calibration_error
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.007970000000000001, 0.0891]",103053,0.07091086509982328,0.004764538635459423,0.06614632646436386
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.0891, 0.115]",103053,0.10207721070747058,0.00442490757183197,0.09765230313563861
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.115, 0.139]",103052,0.12684335069620592,0.007035283158017312,0.11980806753818861
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.139, 0.167]",103053,0.15274589678990225,0.007520402123179335,0.1452254946667229
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.167, 0.198]",103052,0.18195182262060733,0.008374412917750262,0.17357740970285707
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.198, 0.237]",103053,0.21699961839561696,0.011780346035535114,0.20521927236008186
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.237, 0.289]",103052,0.26145902547770034,0.013274851531265768,0.24818417394643458
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.289, 0.364]",103053,0.3233236510393121,0.018058668840305474,0.3052649821990066
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.364, 0.493]",103052,0.42088781350003146,0.02729689865310717,0.39359091484692427
mimic_internal,P10_true_trained_ultra_minimal_sensitivity_model,"(0.493, 1.0]",103053,0.6452616296401169,0.09937604921739299,0.545885580422724
mimic_internal,P12_true_trained_clinical_landing_model,"(0.00508, 0.0883]",103053,0.07045076300153877,0.004230832678330567,0.0662199303232082
mimic_internal,P12_true_trained_clinical_landing_model,"(0.0883, 0.114]",103053,0.1014200611082455,0.004259943912355778,0.09716011719588973
mimic_internal,P12_true_trained_clinical_landing_model,"(0.114, 0.139]",103052,0.12623226339407123,0.00652097969956915,0.11971128369450208
mimic_internal,P12_true_trained_clinical_landing_model,"(0.139, 0.166]",103053,0.15187299704527935,0.00707402986812611,0.14479896717715324
mimic_internal,P12_true_trained_clinical_landing_model,"(0.166, 0.197]",103052,0.18088846315482454,0.007792182587431588,0.17309628056739296
mimic_internal,P12_true_trained_clinical_landing_model,"(0.197, 0.236]",103053,0.2157589495029462,0.01148923369528301,0.20426971580766318
mimic_internal,P12_true_trained_clinical_landing_model,"(0.236, 0.287]",103052,0.2601277053195351,0.014652796646353298,0.2454749086731818
mimic_internal,P12_true_trained_clinical_landing_model,"(0.287, 0.362]",103053,0.3219457910445758,0.018281854967832085,0.30366393607674375
mimic_internal,P12_true_trained_clinical_landing_model,"(0.362, 0.492]",103052,0.4194921034365105,0.027073710359818343,0.39241839307669213
mimic_internal,P12_true_trained_clinical_landing_model,"(0.492, 1.0]",103053,0.6480248997121612,0.10053079483372633,0.5474941048784349
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.00422, 0.0811]",103053,0.06390526812722137,0.004289055146380988,0.05961621298084038
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.0811, 0.106]",103053,0.09384421906099044,0.004609278720658302,0.08923494034033214
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.106, 0.131]",103052,0.11825627563659603,0.00639482979466677,0.11186144584192927
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.131, 0.157]",103053,0.1437269519854783,0.007403957187078493,0.13632299479839982
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.157, 0.189]",103052,0.17271856851470038,0.007792182587431588,0.1649263859272688
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.189, 0.227]",103053,0.20736407829139297,0.010295673100249387,0.19706840519114358
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.227, 0.277]",103052,0.25101401026300113,0.013371889919652215,0.23764212034334892
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.277, 0.351]",103053,0.31187525538242655,0.016690440841120587,0.29518481454130596
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.351, 0.481]",103052,0.40849595460861354,0.02664674145091798,0.38184921315769554
mimic_internal,P15_clinically_parsimonious_transport_model,"(0.481, 1.0]",103053,0.6370507509655606,0.10441229270375438,0.5326384582618062
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.014599999999999998, 0.0967]",105136,0.07594264013068325,0.0030531882514077003,0.07288945187927555
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.0967, 0.126]",105136,0.11155153702699205,0.005155227514837924,0.10639630951215413
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.126, 0.152]",105135,0.1389622250613979,0.006591525181908974,0.13237069987948893
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.152, 0.179]",105136,0.1655203421670872,0.008075254907928778,0.1574450872591584
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.179, 0.209]",105136,0.19394771672231503,0.009321260082179273,0.18462645664013577
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.209, 0.245]",105135,0.22659046776177189,0.011946544918438199,0.2146439228433337
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.245, 0.291]",105136,0.26680389408152694,0.013905798204230711,0.2528980958772962
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.291, 0.358]",105135,0.3215337628585706,0.018718790126979596,0.302814972731591
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.358, 0.482]",105136,0.412610143987255,0.02824912494293106,0.3843610190443239
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,"(0.482, 1.0]",105136,0.6395981520636972,0.10987673109115811,0.529721420972539
eicu_external,P12_true_trained_clinical_landing_model,"(0.0157, 0.0981]",105136,0.07693146573589207,0.0027297975954953583,0.07420166814039672
eicu_external,P12_true_trained_clinical_landing_model,"(0.0981, 0.128]",105136,0.1134347338954979,0.004451377263734592,0.1089833566317633
eicu_external,P12_true_trained_clinical_landing_model,"(0.128, 0.155]",105135,0.14158624800402259,0.006667617824701574,0.13491863017932101
eicu_external,P12_true_trained_clinical_landing_model,"(0.155, 0.183]",105136,0.16881771899529321,0.008103789377568102,0.16071392961772513
eicu_external,P12_true_trained_clinical_landing_model,"(0.183, 0.214]",105136,0.19817259256653416,0.009159564754223101,0.18901302781231105
eicu_external,P12_true_trained_clinical_landing_model,"(0.214, 0.251]",105135,0.23181735576957285,0.011442431159937224,0.22037492460963562
eicu_external,P12_true_trained_clinical_landing_model,"(0.251, 0.297]",105136,0.2728718163035131,0.014048470552427332,0.2588233457510858
eicu_external,P12_true_trained_clinical_landing_model,"(0.297, 0.365]",105135,0.3285285539004726,0.018024444761497123,0.31050410913897547
eicu_external,P12_true_trained_clinical_landing_model,"(0.365, 0.491]",105136,0.4205805644628022,0.02772599299954345,0.39285457146325875
eicu_external,P12_true_trained_clinical_landing_model,"(0.491, 1.0]",105136,0.6514388859296795,0.11253994825749505,0.5388989376721844
eicu_external,P15_clinically_parsimonious_transport_model,"(0.013500000000000002, 0.0872]",105136,0.06797544092115117,0.0025585907776594125,0.06541685014349176
eicu_external,P15_clinically_parsimonious_transport_model,"(0.0872, 0.115]",105136,0.10130521508776039,0.004375285344696393,0.096929929743064
eicu_external,P15_clinically_parsimonious_transport_model,"(0.115, 0.14]",105135,0.1271788761584527,0.006001807200266324,0.12117706895818636
eicu_external,P15_clinically_parsimonious_transport_model,"(0.14, 0.166]",105136,0.15241118862066047,0.007770887231775985,0.14464030138888448
eicu_external,P15_clinically_parsimonious_transport_model,"(0.166, 0.194]",105136,0.17958373246243275,0.008902754527469183,0.17068097793496356
eicu_external,P15_clinically_parsimonious_transport_model,"(0.194, 0.228]",105135,0.21061430468846692,0.011470965900984448,0.19914333878748247
eicu_external,P15_clinically_parsimonious_transport_model,"(0.228, 0.272]",105136,0.24869864222193946,0.014115050981585756,0.23458359124035372
eicu_external,P15_clinically_parsimonious_transport_model,"(0.272, 0.335]",105135,0.30090146386962957,0.017035240405193323,0.28386622346443624
eicu_external,P15_clinically_parsimonious_transport_model,"(0.335, 0.46]",105136,0.3889512997852461,0.026879470400243494,0.3620718293850026
eicu_external,P15_clinically_parsimonious_transport_model,"(0.46, 1.0]",105136,0.632130391919153,0.11578336630649826,0.5163470256126548
