mean_predicted_risk,observed_death_rate,row_n,death_n,model_name
0.05681445944053694,0.0022637345913863946,52568,119,P15
0.0791364224017654,0.0028534469639324303,52568,150,P15
0.09449069900359969,0.0036714350935930606,52568,193,P15
0.10811973117192104,0.005079135595799726,52568,267,P15
0.12095562214728511,0.00534545731243342,52568,281,P15
0.13340224855670743,0.006658169574067381,52567,350,P15
0.14591696951932823,0.007685283822858013,52568,404,P15
0.1589054077219927,0.007856490640693959,52568,413,P15
0.17244775366605597,0.008141835337087202,52568,428,P15
0.1867197112588095,0.009663673717851165,52568,508,P15
0.20221187813465677,0.011242794909353777,52567,591,P15
0.2190165714030868,0.011699132552122965,52568,615,P15
0.23787335706205037,0.013259016892406026,52568,697,P15
0.25952392738182856,0.014971085070765484,52568,787,P15
0.28512698264889147,0.015922234058742962,52568,837,P15
0.3166762451737132,0.01814826792474366,52567,954,P15
0.3585550757771359,0.02126769137117638,52568,1118,P15
0.4193475237933563,0.03249124942931061,52568,1708,P15
0.5195900468305477,0.05706893927864861,52568,3000,P15
0.7446707370077584,0.1744977933343479,52568,9173,P15
