model_name,dataset_name,row_n,mean_predicted_risk,observed_event_rate,death_n,display_name
P15_clinically_parsimonious_transport_model,mimic_internal,103053,0.0639,0.0043,442,P15 double-anchor model
P15_clinically_parsimonious_transport_model,mimic_internal,103053,0.0938,0.0046,475,P15 double-anchor model
P15_clinically_parsimonious_transport_model,mimic_internal,103052,0.1183,0.0064,659,P15 double-anchor model
P15_clinically_parsimonious_transport_model,mimic_internal,103053,0.1437,0.0074,763,P15 double-anchor model
P15_clinically_parsimonious_transport_model,mimic_internal,103052,0.1727,0.0078,803,P15 double-anchor model
P15_clinically_parsimonious_transport_model,mimic_internal,103053,0.2074,0.0103,1061,P15 double-anchor model
P15_clinically_parsimonious_transport_model,mimic_internal,103052,0.2510,0.0134,1378,P15 double-anchor model
P15_clinically_parsimonious_transport_model,mimic_internal,103053,0.3119,0.0167,1720,P15 double-anchor model
P15_clinically_parsimonious_transport_model,mimic_internal,103052,0.4085,0.0266,2746,P15 double-anchor model
P15_clinically_parsimonious_transport_model,mimic_internal,103053,0.6371,0.1044,10760,P15 double-anchor model
M1_internal_rich_reference_model,mimic_internal,103053,0.0140,0.0002,22,70-feature high-dimensional reference model
M1_internal_rich_reference_model,mimic_internal,103053,0.0299,0.0013,137,70-feature high-dimensional reference model
M1_internal_rich_reference_model,mimic_internal,103052,0.0498,0.0024,245,70-feature high-dimensional reference model
M1_internal_rich_reference_model,mimic_internal,103053,0.0770,0.0042,437,70-feature high-dimensional reference model
M1_internal_rich_reference_model,mimic_internal,103052,0.1115,0.0060,615,70-feature high-dimensional reference model
M1_internal_rich_reference_model,mimic_internal,103053,0.1541,0.0077,791,70-feature high-dimensional reference model
M1_internal_rich_reference_model,mimic_internal,103052,0.2097,0.0115,1188,70-feature high-dimensional reference model
M1_internal_rich_reference_model,mimic_internal,103053,0.2893,0.0156,1608,70-feature high-dimensional reference model
M1_internal_rich_reference_model,mimic_internal,103052,0.4194,0.0263,2715,70-feature high-dimensional reference model
M1_internal_rich_reference_model,mimic_internal,103053,0.7066,0.1266,13049,70-feature high-dimensional reference model
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103053,0.0627,0.0030,314,Dynamic SOFA
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103053,0.0875,0.0051,526,Dynamic SOFA
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103052,0.1136,0.0073,750,Dynamic SOFA
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103053,0.1506,0.0102,1050,Dynamic SOFA
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103052,0.2110,0.0103,1057,Dynamic SOFA
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103053,0.2794,0.0134,1376,Dynamic SOFA
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103052,0.3351,0.0163,1679,Dynamic SOFA
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103053,0.3966,0.0203,2094,Dynamic SOFA
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103052,0.4910,0.0309,3189,Dynamic SOFA
C1_dynamic_SOFA_clinical_comparator,mimic_internal,103053,0.6833,0.0851,8772,Dynamic SOFA
P15_clinically_parsimonious_transport_model,eicu_external,105136,0.0680,0.0026,269,P15 double-anchor model
P15_clinically_parsimonious_transport_model,eicu_external,105136,0.1013,0.0044,460,P15 double-anchor model
P15_clinically_parsimonious_transport_model,eicu_external,105135,0.1272,0.0060,631,P15 double-anchor model
