dataset_name,model_name,threshold,n,prevalence,tp,fp,positive_n,net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_minus_treat_all,net_benefit_minus_treat_none,interpretation_note,display_name
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.0050,1051357,0.0215,22593,1028764,1051357,0.0166,0.0166,0.0000,0.0000,0.0166,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.0100,1051357,0.0215,22593,1028764,1051357,0.0116,0.0116,0.0000,-0.0000,0.0116,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.0200,1051357,0.0215,22593,1028751,1051344,0.0015,0.0015,0.0000,0.0000,0.0015,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.0300,1051357,0.0215,22593,1028517,1051110,-0.0088,-0.0088,0.0000,0.0000,-0.0088,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.0500,1051357,0.0215,22553,1021986,1044539,-0.0297,-0.0300,0.0000,0.0003,-0.0297,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.0750,1051357,0.0215,22476,985035,1007511,-0.0546,-0.0578,0.0000,0.0033,-0.0546,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.1000,1051357,0.0215,22230,912806,935036,-0.0753,-0.0872,0.0000,0.0119,-0.0753,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.1500,1051357,0.0215,21091,723343,744434,-0.1014,-0.1512,0.0000,0.0498,-0.1014,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.2000,1051357,0.0215,19532,537205,556737,-0.1092,-0.2231,0.0000,0.1140,-0.1092,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
eicu_external,P10_true_trained_ultra_minimal_sensitivity_model,0.3000,1051357,0.0215,16190,281373,297563,-0.0993,-0.3979,0.0000,0.2986,-0.0993,supplementary clinical utility estimate; not an automatic intervention trigger,P10 ultra-minimal sensitivity candidate
