threshold,metric,ci_lower,ci_upper,n_resamples_requested,n_resamples_valid,n_resamples_skipped,bootstrap_unit,bootstrap_level,seed
0.005,sensitivity_recall,1.0,1.0,1000,1000,0,patient_id,patient-level,20260511
0.005,specificity,0.0,0.0,1000,1000,0,patient_id,patient-level,20260511
0.005,PPV,0.020114434787976834,0.022756411231023278,1000,1000,0,patient_id,patient-level,20260511
0.005,NPV,not_estimable_no_screen_negative,not_estimable_no_screen_negative,1000,0,0,patient_id,patient-level,20260511
0.005,F1_score,0.03943564388816281,0.044500158552637795,1000,1000,0,patient_id,patient-level,20260511
0.005,false_positive_rate,1.0,1.0,1000,1000,0,patient_id,patient-level,20260511
0.005,false_negative_rate,0.0,0.0,1000,1000,0,patient_id,patient-level,20260511
0.005,screen_positive_proportion,1.0,1.0,1000,1000,0,patient_id,patient-level,20260511
0.005,event_rate_among_screen_positive,0.020114434787976834,0.022756411231023278,1000,1000,0,patient_id,patient-level,20260511
0.005,event_rate_among_screen_negative,not_estimable_no_screen_negative,not_estimable_no_screen_negative,1000,0,0,patient_id,patient-level,20260511
0.005,net_benefit,0.015190386721584757,0.0178456394281641,1000,1000,0,patient_id,patient-level,20260511
0.01,sensitivity_recall,1.0,1.0,1000,1000,0,patient_id,patient-level,20260511
0.01,specificity,0.0,0.0,1000,1000,0,patient_id,patient-level,20260511
0.01,PPV,0.020072553956398898,0.022891421040066983,1000,1000,0,patient_id,patient-level,20260511
0.01,NPV,not_estimable_no_screen_negative,not_estimable_no_screen_negative,1000,0,0,patient_id,patient-level,20260511
0.01,F1_score,0.03935514954036138,0.04475826185780792,1000,1000,0,patient_id,patient-level,20260511
0.01,false_positive_rate,1.0,1.0,1000,1000,0,patient_id,patient-level,20260511
0.01,false_negative_rate,0.0,0.0,1000,1000,0,patient_id,patient-level,20260511
0.01,screen_positive_proportion,1.0,1.0,1000,1000,0,patient_id,patient-level,20260511
0.01,event_rate_among_screen_positive,0.020072553956398898,0.022891421040066983,1000,1000,0,patient_id,patient-level,20260511
0.01,event_rate_among_screen_negative,not_estimable_no_screen_negative,not_estimable_no_screen_negative,1000,0,0,patient_id,patient-level,20260511
0.01,net_benefit,0.010174296925655453,0.013021637414209074,1000,1000,0,patient_id,patient-level,20260511
0.02,sensitivity_recall,1.0,1.0,1000,1000,0,patient_id,patient-level,20260511
0.02,specificity,0.0,8.821487765763456e-05,1000,1000,0,patient_id,patient-level,20260511
0.02,PPV,0.02015698730121407,0.022990530251559987,1000,1000,0,patient_id,patient-level,20260511
0.02,NPV,1.0,1.0,1000,948,0,patient_id,patient-level,20260511
0.02,F1_score,0.03951742242041717,0.044947689291643916,1000,1000,0,patient_id,patient-level,20260511
0.02,false_positive_rate,0.9999117851223424,1.0,1000,1000,0,patient_id,patient-level,20260511
0.02,false_negative_rate,0.0,0.0,1000,1000,0,patient_id,patient-level,20260511
0.02,screen_positive_proportion,0.9999136335289814,1.0,1000,1000,0,patient_id,patient-level,20260511
0.02,event_rate_among_screen_positive,0.02015698730121407,0.022990530251559987,1000,1000,0,patient_id,patient-level,20260511
0.02,event_rate_among_screen_negative,0.0,0.0,1000,948,0,patient_id,patient-level,20260511
0.02,net_benefit,0.00016018400322945664,0.0030515092213751105,1000,1000,0,patient_id,patient-level,20260511
0.03,sensitivity_recall,1.0,1.0,1000,1000,0,patient_id,patient-level,20260511
0.03,specificity,0.00031003838242155596,0.0007830400984366096,1000,1000,0,patient_id,patient-level,20260511
0.03,PPV,0.0201693803826866,0.02300270840126894,1000,1000,0,patient_id,patient-level,20260511
0.03,NPV,1.0,1.0,1000,1000,0,patient_id,patient-level,20260511
0.03,F1_score,0.03954123848283075,0.04497096281798586,1000,1000,0,patient_id,patient-level,20260511
0.03,false_positive_rate,0.9992169599015633,0.9996899616175784,1000,1000,0,patient_id,patient-level,20260511
0.03,false_negative_rate,0.0,0.0,1000,1000,0,patient_id,patient-level,20260511
0.03,screen_positive_proportion,0.9992339624626191,0.9996966362818489,1000,1000,0,patient_id,patient-level,20260511
0.03,event_rate_among_screen_positive,0.0201693803826866,0.02300270840126894,1000,1000,0,patient_id,patient-level,20260511
0.03,event_rate_among_screen_negative,0.0,0.0,1000,1000,0,patient_id,patient-level,20260511
0.03,net_benefit,-0.01012831597811413,-0.0072091956819440505,1000,1000,0,patient_id,patient-level,20260511
0.05,sensitivity_recall,0.9953608333849566,0.9999558325917312,1000,1000,0,patient_id,patient-level,20260511
0.05,specificity,0.010994018253017442,0.01384132966997617,1000,1000,0,patient_id,patient-level,20260511
0.05,PPV,0.020437818565446162,0.023042476985486,1000,1000,0,patient_id,patient-level,20260511
0.05,NPV,0.9917817679952414,0.9999235329267,1000,1000,0,patient_id,patient-level,20260511
0.05,F1_score,0.0400567819505181,0.04504518457371701,1000,1000,0,patient_id,patient-level,20260511
0.05,false_positive_rate,0.9861586703300238,0.9890059817469826,1000,1000,0,patient_id,patient-level,20260511
0.05,false_negative_rate,4.416740826884147e-05,0.004639166615043391,1000,1000,0,patient_id,patient-level,20260511
0.05,screen_positive_proportion,0.9864020509310572,0.9892087242489814,1000,1000,0,patient_id,patient-level,20260511
0.05,event_rate_among_screen_positive,0.020437818565446162,0.023042476985486,1000,1000,0,patient_id,patient-level,20260511
0.05,event_rate_among_screen_negative,7.646707330004308e-05,0.008218232004758585,1000,1000,0,patient_id,patient-level,20260511
0.05,net_benefit,-0.03074940160651946,-0.02802305722975983,1000,1000,0,patient_id,patient-level,20260511
0.1,sensitivity_recall,0.9739983991314498,0.9867016822082146,1000,1000,0,patient_id,patient-level,20260511
0.1,specificity,0.14057926512277516,0.1548721973192872,1000,1000,0,patient_id,patient-level,20260511
0.1,PPV,0.023192069508077107,0.026420094404381353,1000,1000,0,patient_id,patient-level,20260511
0.1,NPV,0.9961165716067166,0.9980230815919859,1000,1000,0,patient_id,patient-level,20260511
0.1,F1_score,0.0453151991422271,0.05144972142927675,1000,1000,0,patient_id,patient-level,20260511
0.1,false_positive_rate,0.8451278026807129,0.8594207348772248,1000,1000,0,patient_id,patient-level,20260511
0.1,false_negative_rate,0.013298317791785353,0.02600160086855017,1000,1000,0,patient_id,patient-level,20260511
0.1,screen_positive_proportion,0.8479481547393132,0.8619519048112494,1000,1000,0,patient_id,patient-level,20260511
0.1,event_rate_among_screen_positive,0.023192069508077107,0.026420094404381353,1000,1000,0,patient_id,patient-level,20260511
0.1,event_rate_among_screen_negative,0.001976918408014119,0.0038834283932832826,1000,1000,0,patient_id,patient-level,20260511
0.1,net_benefit,-0.07319752504159278,-0.06979314490430426,1000,1000,0,patient_id,patient-level,20260511
