P15 变量,MIMIC-IV 缺失率,eICU 缺失率,缺失率差异,是否可用于主文,证据文件路径,备注
hours_since_icu_admission,0.000000,0.000000,0.000000,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,METRE transport registry 中的 model-ready missingness；主文不建议逐项展开，适合补充材料。
hours_from_anchor,0.000000,0.000000,0.000000,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,METRE transport registry 中的 model-ready missingness；主文不建议逐项展开，适合补充材料。
is_sepsis_on_admission,0.000000,0.000000,0.000000,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,METRE transport registry 中的 model-ready missingness；主文不建议逐项展开，适合补充材料。
heart_rate_latest_value,0.041457,0.010531,-0.030926,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,METRE transport registry 中的 model-ready missingness；主文不建议逐项展开，适合补充材料。
respiratory_rate_latest_value,0.049111,0.057288,0.008177,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,METRE transport registry 中的 model-ready missingness；主文不建议逐项展开，适合补充材料。
spo2_latest_value,0.057738,0.030935,-0.026802,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,archive/post_metre_reference/metre_transport/METRE_Transport_Feature_Set.csv,METRE transport registry 中的 model-ready missingness；主文不建议逐项展开，适合补充材料。
creatinine_latest_value,0.025718,0.050438,0.024720,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,results_final/clinical_implementation/Lab_Freshness_Missingness_Impact.csv,current_latest_value_reference baseline_missing_rate；lab/proxy freshness 审计来源。
bun_latest_value,0.026135,0.051203,0.025068,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,results_final/clinical_implementation/Lab_Freshness_Missingness_Impact.csv,current_latest_value_reference baseline_missing_rate；lab/proxy freshness 审计来源。
platelet_latest_value,0.030911,0.071476,0.040565,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,results_final/clinical_implementation/Lab_Freshness_Missingness_Impact.csv,current_latest_value_reference baseline_missing_rate；lab/proxy freshness 审计来源。
wbc_latest_value,0.030653,0.071892,0.041239,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,results_final/clinical_implementation/Lab_Freshness_Missingness_Impact.csv,current_latest_value_reference baseline_missing_rate；lab/proxy freshness 审计来源。
shared_support_intensity_proxy,0.000000,0.000000,0.000000,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,results_final/clinical_implementation/Lab_Freshness_Missingness_Impact.csv,current_latest_value_reference baseline_missing_rate；lab/proxy freshness 审计来源。
support_hemodynamic_component,0.000000,0.000000,0.000000,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,results_final/clinical_implementation/Lab_Freshness_Missingness_Impact.csv,current_latest_value_reference baseline_missing_rate；lab/proxy freshness 审计来源。
support_lactate_component,0.000000,0.000000,0.000000,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,results_final/clinical_implementation/Lab_Freshness_Missingness_Impact.csv,current_latest_value_reference baseline_missing_rate；lab/proxy freshness 审计来源。
support_renal_component,0.000000,0.000000,0.000000,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,results_final/clinical_implementation/Lab_Freshness_Missingness_Impact.csv,current_latest_value_reference baseline_missing_rate；lab/proxy freshness 审计来源。
support_respiratory_component,0.000000,0.000000,0.000000,建议补充材料逐项列出；主文可概述可获得性和 freshness 结论,results_final/clinical_implementation/Lab_Freshness_Missingness_Impact.csv,current_latest_value_reference baseline_missing_rate；lab/proxy freshness 审计来源。
