model_name,dataset_name,phenotype_label,status,row_n,cluster_n,death_row_n,cluster_id_used,bootstrap_unit,n_resamples_requested,n_resamples_valid,n_resamples_skipped,AUROC,AUROC_95CI,AUPRC,AUPRC_95CI,Brier,Brier_95CI,calibration_slope,calibration_slope_95CI
P15_clinically_parsimonious_transport_model,mimic_internal,Phenotype_1,ok,611693,6500,11402,patient_id,patient-level,1000,1000,0,0.8061358785250394,0.7869-0.8265,0.1892551568123455,0.1621-0.2202,0.0808080412966456,0.0758-0.0862,1.0723584693337729,1.0008-1.1442
P15_clinically_parsimonious_transport_model,mimic_internal,Phenotype_2,ok,371043,2215,7852,patient_id,patient-level,1000,1000,0,0.781076126536026,0.7536-0.8059,0.2061594508395599,0.1687-0.2443,0.0857292194464139,0.0806-0.0912,1.0690172435144942,0.9627-1.1486
P15_clinically_parsimonious_transport_model,mimic_internal,Phenotype_3,ok,47790,245,1553,patient_id,patient-level,1000,1000,0,0.7960485814700238,0.7314-0.8518,0.2346252215439635,0.1711-0.3073,0.1662178779158876,0.1435-0.1902,1.087759422640874,0.9039-1.3132
P12_true_trained_clinical_landing_model,mimic_internal,Phenotype_1,ok,611693,6500,11402,patient_id,patient-level,1000,1000,0,0.8001119178007879,0.7799-0.8206,0.1678112704986901,0.1424-0.1968,0.0844804999879857,0.0793-0.0905,1.0441520993031583,0.9766-1.1156
P12_true_trained_clinical_landing_model,mimic_internal,Phenotype_2,ok,371043,2215,7852,patient_id,patient-level,1000,1000,0,0.7794028248992757,0.7526-0.8041,0.1888638621126637,0.1543-0.2244,0.0913191036164165,0.0860-0.0969,1.0452584870664552,0.9481-1.1253
P12_true_trained_clinical_landing_model,mimic_internal,Phenotype_3,ok,47790,245,1553,patient_id,patient-level,1000,1000,0,0.7879987456769143,0.7222-0.8477,0.2134143440314973,0.1509-0.2851,0.1791869136295134,0.1561-0.2042,1.077769018892027,0.8634-1.2941
P10_true_trained_ultra_minimal_sensitivity_model,mimic_internal,Phenotype_1,ok,611693,6500,11402,patient_id,patient-level,1000,1000,0,0.7949164372580357,0.7750-0.8155,0.1652466527508658,0.1404-0.1946,0.0843253516759318,0.0795-0.0895,1.0578388789820006,0.9855-1.1302
P10_true_trained_ultra_minimal_sensitivity_model,mimic_internal,Phenotype_2,ok,371043,2215,7852,patient_id,patient-level,1000,1000,0,0.7705884431377859,0.7428-0.7970,0.1813726754892932,0.1470-0.2147,0.0929381665465505,0.0879-0.0984,1.030821770117914,0.9301-1.1098
P10_true_trained_ultra_minimal_sensitivity_model,mimic_internal,Phenotype_3,ok,47790,245,1553,patient_id,patient-level,1000,1000,0,0.7773655207183694,0.7096-0.8381,0.1956451826213799,0.1385-0.2635,0.1747464834766988,0.1523-0.1981,1.0477661654540955,0.8444-1.2678
MT3_Post_METRE_transport_reference_model,mimic_internal,Phenotype_1,ok,611693,6500,11402,patient_id,patient-level,1000,1000,0,0.8128422865760833,0.7945-0.8319,0.1996737663389958,0.1721-0.2310,0.0790565723614742,0.0743-0.0840,1.0722570082513716,1.0040-1.1386
