source_panel,dataset_name,threshold,strategy,value
DCA,test_all,0.05,M1,-0.018386
DCA,test_all,0.05,C1,-0.03077
DCA,test_all,0.1,M1,-0.043067
DCA,test_all,0.1,C1,-0.067153
DCA,test_all,0.15,M1,-0.059035
DCA,test_all,0.15,C1,-0.093201
DCA,test_all,0.2,M1,-0.068894
DCA,test_all,0.2,C1,-0.119545
DCA,test_all,0.3,M1,-0.078941
DCA,test_all,0.3,C1,-0.155763
Leadtime,test_all,0.05,M1,90.607639
Leadtime,test_all,0.1,M1,88.8925
Leadtime,test_all,0.15,M1,87.421806
Leadtime,test_all,0.2,M1,83.987222
Leadtime,test_all,0.3,M1,79.039861
Leadtime,test_all,0.05,C1,90.935
Leadtime,test_all,0.1,C1,90.185417
Leadtime,test_all,0.15,C1,90.607639
Leadtime,test_all,0.2,C1,91.333333
Leadtime,test_all,0.3,C1,90.935
